vadhan2012 339 pages; 94 markers
odonnell2021 419 pages; 67 markers
raoyehudayoff 120 pages; 8 markers
jukna2012 587 pages; 105 markers
williamson2011 500 pages; 96 markers
cygan2015 629 pages; 58 markers
goldreich2017 466 pages; 40 markers
cspbook2017 358 pages; 243 markers
nordstrom2013 63 pages; 49 markers
spanners2020 75 pages; 51 markers
fair2022 17 pages; 23 markers
reconfig2020 20 pages; 18 markers
temporal2015 42 pages; 1 markers
scheduling2017 9 pages; 26 markers
arora_barak 489 pages; 77 markers
dwork_roth 281 pages; 7 markers
watrous 598 pages; 10 markers
understanding_ml 449 pages; 8 markers
bandit_algorithms 597 pages; 16 markers
markov_mixing 461 pages; 49 markers
coding_theory 226 pages; 46 markers
peikert 90 pages; 25 markers
bubeck_convex 130 pages; 1 markers
expanders 124 pages; 51 markers
arithmetic_circuits 123 pages; 55 markers
local_algorithms 46 pages; 4 markers
repetitive_strings 76 pages; 5 markers
quantum_algorithms 17 pages; 2 markers
fine_grained 32 pages; 15 markers
wigderson 340 pages; 211 markers
online_convex 260 pages; 3 markers
algorithmic_game_theory 775 pages; 96 markers
