venue,year,papers
focs,2011,88
focs,2012,80
focs,2013,78
focs,2014,68
focs,2015,86
focs,2016,86
focs,2017,90
focs,2018,87
focs,2019,92
focs,2020,127
focs,2021,118
focs,2022,110
focs,2023,142
focs,2024,133
focs,2025,136
soda,2011,136
soda,2012,139
soda,2013,135
soda,2014,136
soda,2015,135
soda,2016,146
soda,2017,181
soda,2018,180
soda,2019,183
soda,2020,181
soda,2021,180
soda,2022,148
soda,2023,190
soda,2024,192
soda,2025,192
soda,2026,242
stoc,2011,84
stoc,2012,89
stoc,2013,100
stoc,2014,91
stoc,2015,93
stoc,2016,92
stoc,2017,110
stoc,2018,113
stoc,2019,113
stoc,2020,113
stoc,2021,151
stoc,2022,134
stoc,2023,155
stoc,2024,190
stoc,2025,219
stoc,2026,211
