TCS-0163	Complexity of satisfiable word equations	Antoine Amarilli: research questions
TCS-0164	Equivalence for unambiguous grammars	Antoine Amarilli: research questions
TCS-0139	Equivalence of Cost Register Automata: the quest for decidability	Automata Exchange
TCS-0121	Decidability of $(\min,+)$-weighted automata determinization	Automata Exchange
TCS-0146	Complexity of universality for unambiguous context-free grammars	Automata Exchange
TCS-0484	Does the specified weighted temporal logic express every weighted FO sentence over natural numbers?	Weighted first-order logic, weighted aperiodic automata, and more
TCS-0135	The zeroness problem	Unambiguity in Automata Theory
TCS-0156	Universality for unambiguous automata	Automata Exchange
TCS-0167	Primitive words and context-freeness	Antoine Amarilli: research questions
TCS-0136	Universality of register automata over ordered domains	Unambiguity in Automata Theory
TCS-0138	Deterministic separability of nondeterministic timed languages	Automata Exchange
TCS-0150	HyperLTL satisfiability	Automata Exchange
TCS-0128	Better bounds on complementing unambiguous automata	Unambiguity in Automata Theory
TCS-0134	The state complexity of unambiguous Büchi automata	Unambiguity in Automata Theory
TCS-0137	What is the complexity of constructing unambiguous automata	Unambiguity in Automata Theory
TCS-0095	Efficient LRS evaluation	Automata Exchange
TCS-0107	Emptiness-checking for 3-clock Timed Automata with additive constraints	Automata Exchange
TCS-0111	Lower bounds for determinizability of weighted automata over \(\mathbb Q\)	Automata Exchange
TCS-0114	Satisfiability of String Constraints with Subsequence relation	Automata Exchange
TCS-0123	From two-way to one-way transducers, revisited	Automata Exchange
TCS-0133	Stronger versions of inclusion of probabilistic automata	Unambiguity in Automata Theory
TCS-0143	Succinctness of GFG pushdown automata	Automata Exchange
TCS-0147	Deciding upperboundedness of \(\bbZ\)-CCRA	Automata Exchange
TCS-0161	Word Equations with Loops	Combinatorial and Algorithmic Aspects of Sequence Processing
TCS-0165	Exactly-two-parse context-free grammars	Antoine Amarilli: research questions
TCS-0090	Classes of languages with objective-independent memory	Automata Exchange
TCS-0094	Do probabilities matter for resolving nondeterminism?	Automata Exchange
TCS-0096	Fine-grained complexity of language emptiness for deterministic PDA	Automata Exchange
