TCS-0022	One-way functions from NP hardness	Mathematics and Computation (2018 draft)
TCS-0465	Smaller shares for general secret sharing	Algorithmic Aspects of Information Theory
TCS-6454	Does worst-case Nearest Codeword hardness imply low-noise LPN hardness?	Towards Worst-case Hardness for Low-Noise LPN
TCS-0461	Private information retrieval problems	0xPARC research workshops
TCS-0463	Abelian-group versus field secret sharing	Algorithmic Aspects of Information Theory
TCS-1138	Polynomial-time computationally sound NP verification of #SAT	New ways of studying the BPP = P conjecture
TCS-0458	Improved bounds for Path ORAM	0xPARC research workshops
TCS-0460	Outsourcing ZK proof generation to an untrusted server	0xPARC research workshops
TCS-0453	Sparse matrices for LPN	0xPARC research workshops
TCS-0450	Matrix challenge (for breaking obfuscation)	0xPARC research workshops
TCS-0448	Algebraic digit extraction	0xPARC research workshops
TCS-0449	Amplifier polynomials for FHE	0xPARC research workshops
TCS-0451	Parallelizing blind rotation	0xPARC research workshops
TCS-0454	A new algebraic hash function	0xPARC research workshops
TCS-0455	Efficient weighted threshold signatures	0xPARC research workshops
TCS-0456	Fast computation of Bézout polynomials	0xPARC research workshops
TCS-0457	Fast polynomial multiplication and decomposition	0xPARC research workshops
TCS-0459	Non-native arithmetic and CRT codes	0xPARC research workshops
TCS-0462	Range checks	0xPARC research workshops
TCS-0464	Information leakage in distributed OR	Algorithmic Aspects of Information Theory
TCS-0452	Sharding protocol efficiency	0xPARC research workshops
TCS-1170	Prove that for any p ∈ [1, 2], there exists a constant γ > 1 such that assuming ETH there are no sub-exponential time algorithms […]	Mind the Gap? Not for SVP Hardness Under ETH!
TCS-1182	The randomized constructions of [17, 20] handle n = O(dk/ logp d) parties; our single-parameter construction handles n = O(d/ logp d).	Partial Derandomization for Leakage-Resilient Shamir’s Secret Sharing over Composite Order Fields
TCS-1252	We leave open the question for 5-party distributions, as well as non-boolean 4-party distributions, whether being simple∗ is sufficient for secure samplability.	Towards Characterizing Secure Samplability
TCS-1258	We also leave further cryptanalysis on its computational version, Problem 3, as an intriguing open problem.	Diffie-Hellman Key Exchange from Commutativity to Group Laws
TCS-1340	The first version of an IPE-specific EGLHL given in Lemma 29 was limited in its usefulness because it requires us to prove a concrete bound […]	Tighter Bounds for the Oblivious Bit-Fixing Inner Product Extractor on Biased Seeds
TCS-1399	Can seeded extractors, condensers, or related pseudorandomness objects be lifted to transformations that increase polynomial-time dimension for typical outputs of efficiently samplable infinite sources?	One-Way Functions and Polynomial-Time Dimension
TCS-1437	What other unclonable cryptography primitives can be instantiated in MicroCrypt?	Cloning Games, Black Holes and Cryptography
TCS-1438	We ask the natural question: can we reduce the cost per update to O(1) e ·B ?	Decentralized Data Archival: New Definitions and Constructions
TCS-1568	It is an open question whether a density theorem can be proved for general 3-point configurations on the sphere.	Density Frankl–Rödl on the Sphere
TCS-1573	Lastly, of course, the NP-hardness of improper learning for P/poly remains open.	Witness Encryption and NP-Hardness of Learning
TCS-1643	Assuming OWF, there is a polynomially evaluatable representation class n over {0, 1} that is efficiently defendable but not efficiently PAC learnable.	Backdoor Defense, Learnability and Obfuscation
TCS-1673	Of course, whether Corollary 7 holds is an open problem, and thus whether such a subexponential lower bound holds is not yet proven.	Card-Based Protocols Imply PSM Protocols
TCS-1727	The obvious question we leave open is if there is a polynomial time algorithm to sample non degenerate interior format tensors, even when restricted to […]	Strong Keys for Tensor Isomorphism Cryptography
TCS-1736	We leave it as an open question as to whether a partial self-test (say over HA and over HB ) implies that the correlation is […]	Self-Testing in the Compiled Setting via Tilted-CHSH Inequalities
TCS-1877	We leave as an intriguing open problem the question of whether white-box learning of polynomial, or even logarithmic-degree polynomials, also can be collapsed down to […]	On White-Box Learning and Public-Key Encryption
TCS-1915	Can we make this optimal and only incur a “fixed” additive overhead?	Boosting SNARKs and Rate-1 Barrier in Arguments of Knowledge
TCS-1929	Are there SIPs with statistical (or even perfect) zero-knowledge?	Streaming Zero-Knowledge Proofs
TCS-2008	Is the amalgamation meta-problem decidable in EXPSPACE?	Homogeneity and Homogenizability: Hard Problems for the Logic SNP
TCS-2026	Second, it is unknown whether a “double recursion” procedure like those in Section 2.2 always leads to an exponential worst-case complexity.	Single Family Algebra Operation on BDDs and ZDDs Leads to Exponential Blow-Up
TCS-2028	Computing the same operations with potentially zero polynomials in the same multiplication complexity remains an open question.	Fast Secure Computations on Shared Polynomials and Applications to Private Set Operations
TCS-2093	It is an open problem to give an unconditional depth hierarchy theorem that separates NDepth [a log n] from NDepth [b log n] for any […]	Towards Stronger Depth Lower Bounds
TCS-2288	There is a (perhaps randomised) oracle Solve satisfying (B+ ) such that for every y ∈ [2N ], a width-t conjunction T not leaking y, […]	One-Way Functions vs. TFNP: Simpler and Improved
TCS-2425	Notably, it is still an open question if SZK is closed under ≤Ptt reducibility.	Kolmogorov Complexity Characterizes Statistical Zero Knowledge
TCS-2519	Every linear SSS has this property but it remains open whether every access structure in mP admits a randomness simulatable SSS.	Randomness Recoverable Secret Sharing Schemes
TCS-2532	Can one prove circuit lower bounds from the assumption that a (uniform) computationally-secure IO exists?	Synergy Between Circuit Obfuscation and Circuit Minimization
TCS-2649	Are the GENERAL and MAIN conjectures equivalent?	Bounded Indistinguishability for Simple Sources
TCS-2679	Note that it is unknown whether such assumption can be reduced to more elementary ones such as the existence of certain kinds of one-way functions.	Extremely Efficient Constructions of Hash Functions, with Applications to Hardness Magnification and PRFs
TCS-2680	For every oracle O, if DistNPO ⊆ HeurPO , then UPO ⊆ BPTIMEO [2O(n/ log n) ].	Finding Errorless Pessiland in Error-Prone Heuristica
TCS-2731	Thus, the optimality of Stam’s bound remains open for an arbitrary domain hash.	Revisiting Collision and Local Opening Analysis of ABR Hash
TCS-2776	We leave it as an intriguing open problem to determine whether the “standard” conditional time-bounded Kolmogorov complexity (where interpreting a program as a Turing machine) […]	On One-Way Functions from NP-Complete Problems
TCS-2808	Although we do not know how to get a counterexample for the GL predicate applied to the pre-image of a one-way function, we can get […]	Refuting the Dream XOR Lemma via Ideal Obfuscation and Resettable MPC
TCS-2809	It remains an open problem to find a similar transform (with the same properties) starting with any 2-round OT protocol satisfying only privacy against semi-honest […]	From Privacy-Only to Simulatable OT: Black-Box, Round-Optimal, Information-Theoretic
TCS-2811	Nevertheless, we conjecture that bounds such as the one in Theorem 7 are hopefully meaningful for real-world security of the corresponding ciphers, provided one also […]	Small-Box Cryptography
TCS-2813	Improving the gap in Theorem 19 requires proving better lower-bounds of ω(n2 / log n) for secret sharing schemes – a task that remains open […]	Secret Sharing, Slice Formulas, and Monotone Real Circuits
TCS-2814	As before, we first formalize what it means for such an A1 to break the security of Gledger , and next state the exact assumption […]	Time-Traveling Simulators Using Blockchains and Their Applications
TCS-2990	We also emphasize that this result crucially relies on the PCA being publicly verifiable - we do not know how to establish any hardness of […]	PCPs and Instance Compression from a Cryptographic Lens
TCS-3004	Design IT-secure, locally computable extractor Ext for the sound implementation of the basic delegation architecture.	Doubly-Affine Extractors, and Their Applications
TCS-3025	Indeed, it is an open problem whether the existence of exponentially-hard weak one-way functions is equivalent to the existence of exponentially-hard strong one-way functions [31].	Hardness of KT Characterizes Parallel Cryptography
TCS-3071	It remains open whether a similar bound can be shown for (non-reactive) secure function evaluation.	More Communication Lower Bounds for Information-Theoretic MPC
TCS-3092	We do not know how to implement protocols which could modify their inputs.	Barrington Plays Cards: The Complexity of Card-Based Protocols
TCS-3223	However, one issue remains: how can we distinguish heavy and light queries?	On Basing Auxiliary-Input Cryptography on NP-Hardness via Nonadaptive Black-Box Reductions
TCS-3365	Can we get similar group-based constructions in the plain model?	Separating Two-Round Secure Computation From Oblivious Transfer
TCS-3442	It remains an open question as to whether or not this can be improved while maintaining similar accuracy.	Separating Local & Shuffled Differential Privacy via Histograms
TCS-3515	Can we now securely evaluate the function f while preserving the efficiency relative to the insecure protocol Π?	MPC for MPC: Secure Computation on a Massively Parallel Computing Architecture
TCS-3556	We note, however, that since (even publicly-verifiable) PoSW satisfying weaker notions of sequentiality (e.g., σ = T /2) are known to exist in the ROM […]	Can Verifiable Delay Functions Be Based on Random Oracles?
TCS-3685	We conjecture that getting a much better agreement with Mn , say 1/2 + 1/ poly(n), or even 2 1/2 + 2−o(log n) , requires […]	Cubic Formula Size Lower Bounds Based on Compositions with Majority
TCS-3703	Consequently, designing a subliminal communication protocol using these extractors seems to require additional ideas, and we leave this as an open problem.	How to Subvert Backdoored Encryption: Security Against Adversaries that Decrypt All Ciphertexts
TCS-3738	Can similar results be achieved under the covert constraint?	Covert Computation in Self-Assembled Circuits
TCS-3808	The foregoing motivates the problem of testing linearity of non-signaling functions with low error: how do we ensure that F̂ is sufficiently close to a […]	Probabilistic Checking Against Non-Signaling Strategies from Linearity Testing
TCS-3862	The question of whether search-ZK has complete problems in the computational and statistical setting remains open.	Brief Announcement: Zero-Knowledge Protocols for Search Problems
TCS-3920	In particular, we leave open the possibility of a ZKPP for bipartiteness that also handles graphs that are not rapidly mixing, and a ZKPP for […]	Zero-Knowledge Proofs of Proximity
TCS-4039	We leave it as an open problem to separate these two notions – i.e., find functions which have low bottleneck complexity protocols, but do not […]	The Bottleneck Complexity of Secure Multiparty Computation
TCS-4097	For multi-input programs we do not know how to make α b independent of x.	Cryptanalysis of Indistinguishability Obfuscations of Circuits over GGH13
TCS-4111	Is it possible to use indistinguishability obfuscators for proving or disproving BBH?	Does Looking Inside a Circuit Help?
TCS-4216	Can we eliminate the need for a semi-trusted computer?	Towards Human Computable Passwords
TCS-4222	Can standard cryptographic type assumptions and techniques be used to show such separation results?	The Journey from NP to TFNP Hardness
TCS-4578	Whether such a scheme is vulnerable to other attacks remains an open question for future research.	Circuit Obfuscation Using Braids
TCS-4618	While the latter can be realized by an ideal scheme in which the size of each share is equal to the size of the secret […]	Lossy Chains and Fractional Secret Sharing
TCS-4703	Streaming Zero-Knowledge Proofs — Open problem 2	Streaming Zero-Knowledge Proofs
TCS-4710	Certificate Games — Open Problem 1	Certificate Games
TCS-4716	Bounded Indistinguishability for Simple Sources — Open Question 3	Bounded Indistinguishability for Simple Sources
