TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-0677	Properly learning decision trees in polynomial time?	COLT / PMLR
TCS-0679	Information Complexity of VC Learning	COLT / PMLR
TCS-0691	Recursive Teaching Dimension Versus VC Dimension	COLT / PMLR
TCS-0694	The Statistical Query Complexity of Learning Sparse Halfspaces	COLT / PMLR
TCS-0683	Improper learning of mixtures of Gaussians	COLT / PMLR
TCS-0670	Can Local Regularization Learn All Multiclass Problems?	COLT / PMLR
TCS-0671	Direct Sums in Learning Theory	COLT / PMLR
TCS-0664	Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?	COLT / PMLR
TCS-0682	Monotonicity of Learning	COLT / PMLR
TCS-0674	Learning sparse linear concepts by priming the features	COLT / PMLR
TCS-0676	Learning sequences	Automata Exchange
TCS-0686	Approximate Planning of POMDPs in the class of Memoryless Policies	COLT / PMLR
TCS-0687	Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture	COLT / PMLR
TCS-0663	Is Interaction Necessary for Order-Optimal 1-bit Mean Estimation?	COLT / PMLR
TCS-0668	Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games	COLT / PMLR
TCS-0669	Structure-Agnostic Minimax Risk for Partial Linear Model	COLT / PMLR
TCS-0672	Tight Characterization of Instance-Optimal Identity Testing	COLT / PMLR
TCS-0673	Is There a First-Order Method that Only Converges to Local Minimax Optima?	COLT / PMLR
TCS-0675	log(n) factor in "Local Glivenko-Cantelli"	COLT / PMLR
TCS-0680	Do Good Algorithms Necessarily Query Bad Points?	COLT / PMLR
TCS-0681	How fast can a multiclass test set be overfit?	COLT / PMLR
TCS-0684	The Dependence of Sample Complexity Lower Bounds on Planning Horizon	COLT / PMLR
TCS-0685	Meeting Times for Learning Random Automata	COLT / PMLR
TCS-0689	Property Elicitation and Elicitation Complexity	COLT / PMLR
TCS-0695	Tightness of maximum likelihood semidefinite relaxations	COLT / PMLR
TCS-0696	Lower bounds for Boosting with Hadamard Matrices	COLT / PMLR
TCS-0665	Data Selection for Regression Tasks	COLT / PMLR
TCS-0666	Fixed-Parameter Tractability of Zonotope Problems	COLT / PMLR
TCS-0667	Learning 1-DTA	Automata Exchange
TCS-0678	Running time complexity of accelerated $\ell_1$-regularized PageRank	COLT / PMLR
