TCS-0008	Linear Programming: Strongly Polynomial?	The Open Problems Project
TCS-0054	Tensor Decompositions: Algorithms up to the Uniqueness Threshold?	COLT / PMLR
TCS-0711	Model Selection for Contextual Bandits	COLT / PMLR
TCS-0724	The Oracle Complexity of Convex Optimization with Limited Memory	COLT / PMLR
TCS-0715	Efficient Online Sparse Regression	COLT / PMLR
TCS-0728	The Oracle Complexity of Smooth Convex Optimization in Nonstandard Settings	COLT / PMLR
TCS-0046	Complexity of solving tropical or min-plus linear systems	Complexity of Symbolic and Numerical Problems
TCS-0708	Order Optimal Regret Bounds for Kernel-Based Reinforcement Learning	COLT / PMLR
TCS-0047	Complexity of testing membership to Kronecker polytopes	Complexity of Symbolic and Numerical Problems
TCS-0709	Finite-Time Instance Dependent Optimality for Stochastic Online Learning with Feedback Graphs	COLT / PMLR
TCS-0722	Polynomial linearly-convergent method for g-convex optimization?	COLT / PMLR
TCS-0701	Regret Minimization in Heavy-Tailed Bandits with Unknown Distributional Parameters	COLT / PMLR
TCS-0700	Hardness of Correlated Prophet Inequality	Approximation Algorithms for Stochastic Optimization
TCS-0702	Revisiting the free-order prophet for one-dimensional parameter classes of distributions	Online Algorithms beyond Competitive Analysis
TCS-0719	Anytime Convergence Rate of Gradient Descent	COLT / PMLR
TCS-0720	Black-Box Reductions and Adaptive Gradient Methods for Nonconvex Optimization	COLT / PMLR
TCS-0038	How much overparametrization is needed for ALS in tensor decomposition?	COLT / PMLR
TCS-0727	The landscape of the loss surfaces of multilayer networks	COLT / PMLR
TCS-0725	Second-order cone representability of semialgebraic convex hulls	Designing and Implementing Algorithms for Mixed-Integer Nonlinear Optimization
TCS-0710	Regret Bounds for Noise-Free Kernel-Based Bandits	COLT / PMLR
TCS-0713	Second order regret bounds based on scaling time	COLT / PMLR
TCS-0717	Shifting Experts on Easy Data	COLT / PMLR
TCS-0048	Conjecture: Log-concavity of conic intrinsic volumes	Complexity of Symbolic and Numerical Problems
TCS-0049	Cylindrical decomposition with topologically regular cells	Complexity of Symbolic and Numerical Problems
TCS-0050	Determinantal Witnesses and Matchings	Complexity of Symbolic and Numerical Problems
TCS-0051	Explicit dispersers for large quadratic-system solution sets	Complexity of Symbolic and Numerical Problems
TCS-0052	Lower bounds for sums of powers of degree 1 univariate polynomials	Complexity of Symbolic and Numerical Problems
TCS-0053	Sign-representation	Complexity of Symbolic and Numerical Problems
TCS-0643	Low discrepancy sets in 2D	Algorithms and Complexity for Continuous Problems
TCS-0645	Standard information versus linear information for Lp -approximation	Algorithms and Complexity for Continuous Problems
TCS-0721	Convergence of single-timescale mean-field Langevin descent-ascent for two-player zero-sum games	COLT / PMLR
TCS-0726	Restricted Eigenvalue Condition for Heavy Tailed Designs	COLT / PMLR
TCS-0703	Searching on a path with predictions	Approximation Algorithms for Stochastic Optimization
TCS-0705	Stochastic Bin Packing with Overflow	Approximation Algorithms for Stochastic Optimization
TCS-0706	Stochastic Combinatorial Optimization under a Budget Constraint in Expectation	Approximation Algorithms for Stochastic Optimization
TCS-0707	The deliberate idleness problem	Approximation Algorithms for Stochastic Optimization
TCS-0712	Risk of Ruin in Multiarmed Bandits	COLT / PMLR
TCS-0714	Online Sabotaged Shortest Path	COLT / PMLR
TCS-0716	Online Local Learning	COLT / PMLR
TCS-0642	4-regular graphs from the van der Corput sequence	Algorithms and Complexity for Continuous Problems
TCS-0644	On a problem of classes of optimal information	Algorithms and Complexity for Continuous Problems
TCS-0704	Sequencing replicated jobs on parallel machines to maximize the probability of a full kit	Approximation Algorithms for Stochastic Optimization
TCS-0718	Online Optimization of Piecewise-Lipschitz Functions with Applications to Data-Driven Algorithm Design	COLT / PMLR
TCS-0723	A problem where CMA-ES performs poorly	Theory of Randomized Optimization Heuristics
TCS-1175	Is there a super-polynomial lower bound on the running time of index-based pivot rules when at least Ω(n/ log n) memory states are available?	Lower Bounds for Ranking-Based Pivot Rules
TCS-1210	Closing the gap between Theorems 3 and 5 and the oblivious setting for online algorithms remains open.	On the Adversarial Robustness of Online Importance Sampling
TCS-1218	We leave it an open question if there exists an algorithm that is optimal both in the stochastic case and the adversarial case simultaneously.	Optimal Stochastic Online Sorting
TCS-1219	There exists an integral 3/2-competitive algorithm for incremental vertex cover on forests.	Online and Incremental Fractional Vertex Cover on Trees
TCS-1221	It remains an open question to obtain a dynamic base packing algorithm that updates independent of the packing number.	Dynamic Matroids: Base Packing and Covering
TCS-1241	Indeed, improving on the competitive ratio of O(log n) [24, 14], even with unlimited space usage, remains open.	Online Metric TSP: Beyond the √n Barrier
TCS-1248	We conjecture that one can prove the similar theorem for N = Ω(Poly(M )), which we leave as an intriguing technical open problem.	Online Matroid Embeddings
TCS-1249	The boundary case dmax = cmin remains open, both for routing in rounds and for maximizing routable demand.	Unsplittable Transshipments
TCS-1267	5 Open Problem We conjecture that Greedy has a constant competitive ratio, possibly 2, for online packet routing even when packet lengths are unbounded.	Forwarding Packets Greedily on the Line
TCS-1306	Extending such techniques to the CDB setting could improve regret bounds, but remains an open challenge.	Recycling History: Efficient Recommendations from Contextual Dueling Bandits
TCS-1308	More specifically, we conjecture that the oblivious adversary used in Ito (2024) achieves the desired lower bound even against an improper learner.	A Tight Lower Bound for Non-stochastic Multi-armed Bandits with Expert Advice
TCS-1312	What can we say about LCIS for many graphs?	Optimal Hardness of Online Algorithms for Large Common Induced Subgraphs
TCS-1313	We conjecture that inflating the posterior variance by a factor of log k could remove the k ∗ term.	Avoiding exp($k^*$) Scaling for Thompson Sampling in Combinatorial Semi-Bandits: From Multiple Seeds to a Single Seed
TCS-1319	We conjecture that choosing the next iterate to be the minimizer along the trajectory converges at a strictly better rate than other aggregation schemes.	Accelerated Convex Optimization via Hamiltonian Dynamics with Deterministic Integration Time
TCS-1333	However, since H is bipartite, to prove that the closed interval game is PSPACE-complete in cobipartite graphs, we would need to show that the optimization […]	The Closed Hull Game and the Closed Interval Game
TCS-1351	Moreover, developing techniques to break the symmetries inherent in PEO-based treewidth formulations still remains an open problem, and progress on it could substantially improve the […]	K-Hole Separation in PEO‑Based ILP Treewidth Formulation
TCS-1362	On the other hand, one question we leave open for future work is under what conditions we can efficiently solve the bilinear saddle-point problem in […]	Swap Regret Minimization Through Response-Based Approachability
TCS-1367	First, while LightONS adapts to gradient norms, achieving adaptivity to gradient variation for OXO within O(d e 2 T ) runtime remains an open challenge […]	A simple, optimal and efficient algorithm for online exp-concave optimization
TCS-1394	Whether this rate is tight for F TPL introduced by any perturbation scheme remains an open question.	Self-Concordant Perturbations for Linear Bandits
TCS-1395	This is likely an artifact of our block-based approach, and we leave closing this gap as an open problem.	Near-Optimal Regret for Distributed Adversarial Bandits: A Black-Box Approach
TCS-1398	Finally, are there other interesting delay objectives?	Online TCP Acknowledgment Under General Delays
TCS-1416	Does there exist an algorithm for adversarial order that achieves a constant competitive ratio with O(min{ln ln M, lnnn }) choices in expectation?	Multi Choice Min Prophet
TCS-1477	What if no natural simulator for P ⋆ is available?	Learning with Simulators: No Regret in a Computationally Bounded World
TCS-1488	Moreover, to the best of our knowledge, it is still unknown whether the optimization version of the Torus Puzzle (that asks to return the shortest […]	An Almost-Optimal Upper Bound on the Push Number of the Torus Puzzle
TCS-1507	This choice is suited to the particular structure of our problem, and we do not know if a more standard implementation of FTPL could achieve […]	Online Market Making and the Value of Observing the Order Book
TCS-1508	In summary, this example reveals that nontrivial regret bound of O using worst-case quantities such as SEC to characterize DOEC may not be adequate, and […]	Taming the Monster Every Context: Complexity Measure and Unified Framework for Offline-Oracle Efficient Contextual Bandits
TCS-1512	A central open question remains: can we design size-independent sparsifiers for general integer linear programs, with degree depending only on 1/p, 1/ϵ, and intrinsic structural […]	Near-Optimal Sparsifiers for Stochastic Knapsack and Assignment Problems
TCS-1529	While our work establishes promising results, our initial motivating question is still wide open: does there exist an online forecasting algorithm which achieves the optimal […]	Toward Simultaneously Optimal Regret in U-Calibration
TCS-1560	Then, if at least one such basis exists, for any basis A of M , is there a basis B of M with ψt (B) […]	Towards the Proximity Conjecture on Group-Labeled Matroids
TCS-1634	There is a deterministic algorithm for the time-optimal k-server problem with a competitive ratio of 2k − 1 on general metric spaces.	Time-Optimal k-Server
TCS-1691	Similarly, finding an algorithm with logarithmic gradual variation measured in VT and bounded worst case regret remains open problem.	Data Dependent Regret Bounds for Online Portfolio Selection with Predicted Returns
TCS-1696	Removing the dependence on κ in the regret bounds of separation-oracle-based algorithms—or at least reducing it to logarithmic factors—remains an open and important challenge.	Online Convex Optimization with a Separation Oracle
TCS-1697	We leave open the question of whether an algorithm can be developed that is computationally efficient without relying on a computational oracle.	Sample and Oracle Efficient Reinforcement Learning for MDPs with Linearly-Realizable Value Functions
TCS-1698	Developing an algorithm for the case of a bounded variance oracle remains an open direction for future work.	New Lower Bounds for Non-Convex Stochastic Optimization through Divergence Decomposition
TCS-1721	C̃λℓ−1 ) used in C̃λℓ are tℓ−1 (resp. t̃ℓ−1 ) time units apart, no requests from previous copies remain open at the start of any […]	A Tight Lower Bound for Online Service with Deadlines and Lazy Server
TCS-1725	We conjecture that if P is a one-parameter family of polyhedra and P ([λ, σP (λ)]) cannot be hit by a single point, then the […]	Hitting and Covering Affine Families of Convex Polyhedra, with Applications to Robust Optimization
TCS-1741	A Lower Bound for Problems with Soft Sparsity Constraint It remains an open question whether the BOBW bounds in Theorem 3 are tight under the […]	Data-dependent Bounds with $T$-Optimal Best-of-Both-Worlds Guarantees in Multi-Armed Bandits using Stability-Penalty Matching
TCS-1750	To the best of our knowledge, the generic semistability problem remains open for general acyclic quivers.	Algorithmic Aspects of Semistability of Quiver Representations
TCS-1766	It is an open question if our bounds could be improved for cases where the difference is small.	Non-stochastic Bandits With Evolving Observations
TCS-1810	Is it possible to achieve polylogarithmic competitive ratio without knowledge of f (N )?	Online Disjoint Spanning Trees and Polymatroid Bases
TCS-1844	Is there a Õ(W nω )-time algorithm for Shortest Disjoint S-Paths?	Faster Algorithms on Linear Delta-Matroids
TCS-1884	While our upper and lower bounds match to within at most logarithmic factors under mild conditions, we leave it open as to (i) whether the […]	Quantile Multi-Armed Bandits with 1-bit Feedback
TCS-1887	Although tight lower bounds have been proved for first-order minimax optimization (Ouyang and Xu, 2021; Xie et al., 2020; Zhang et al., 2022; Li et […]	Solving Convex-Concave Problems with $\mathcal{O}(\epsilon^{-4/7})$ Second-Order Oracle Complexity
TCS-1891	Of course, it is possible that there is a method for computing the optimal regularizer that sidesteps the need to be able to verify the […]	Computing Optimal Regularizers for Online Linear Optimization
TCS-1892	Third, it remains an open question whether one can design an objective that is amenable to optimization while matching the statistical rate of our offline […]	Improved Offline Contextual Bandits with Second-Order Bounds: Betting and Freezing
TCS-1919	This opens the interesting question of their tractability: under suitable assumptions, is the ll-FBA with enzyme constraints hard?	Mixed-Integer Optimization for Loopless Flux Distributions in Metabolic Networks
TCS-2013	Fully PTAS on broader matroid classes, such as graphical matroids or linear matroids, remains open.	Lower Bounds for Matroid Optimization Problems with a Linear Constraint
TCS-2025	Does there exist O(1)-RoE algorithm still?	Online Multi-Level Aggregation with Delays and Stochastic Arrivals
TCS-2032	We conjecture that there exists a polynomial-time deterministic strategy achieving constant competitive ratio on graphs with edge (s, t)-cuts of bounded size.	The Canadian Traveller Problem on Outerplanar Graphs
TCS-2048	It is conceivable that o 1ε -competitive algorithms are possible for m ≥ 2 identical machines, which we leave as an interesting open problem.	O(1/ε) Is the Answer in Online Weighted Throughput Maximization
TCS-2052	But we do not know if the table size during the dynamic program on the treedepth decomposition permits an improved run time analysis.	Solving a Family Of Multivariate Optimization and Decision Problems on Classes of Bounded Expansion
TCS-2066	However, it remains open to establish the necessity of the horizon factors.	Mitigating Covariate Shift in Misspecified Regression with Applications to Reinforcement Learning
TCS-2074	We leave it as an open problem to investigate whether or not a large stepsize benefits SGD.	Large Stepsize Gradient Descent for Logistic Loss: Non-Monotonicity of the Loss Improves Optimization Efficiency
TCS-2086	We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […]	A Decomposition Approach to the Weighted k-Server Problem
TCS-2087	If there is an instance that is non-strictly competitive for Single Piece Lineclear Maximization even if the online player is granted some lookahead remains an […]	Tetris Is Not Competitive
TCS-2099	A minor optimisation is to leave their assignments open, and only fix them once we see a resolution step where the other premise has a […]	Strategy Extraction by Interpolation
TCS-2100	It should be noted that whether generalized self-concordance holds for the logarithm of the trace inverse (potentially limited to a subset of its domain) is […]	Solving the Optimal Experiment Design Problem with Mixed-Integer Convex Methods
TCS-2114	Since the ADEC is a lower bound on the DEC under a special choice of nominal model, we conjecture that it can also be used […]	Optimistic Information Directed Sampling
TCS-2120	What is the best guarantee for the online sorting cost in this case?	Online Sorting and Online TSP: Randomized, Stochastic, and High-Dimensional
TCS-2128	We leave open whether our lower bound extends to (non-hereditary) edge discrepancy as well, and to vertex or edge discrepancy of planar graphs.	The Discrepancy of Shortest Paths
TCS-2146	In light of these observations, we conjecture that our bounds are optimal in terms of T under the set of assumptions we make.	Adversarial Contextual Bandits Go Kernelized
TCS-2165	Can they be used profitably in SubModST?	SubModST: A Fast Generic Solver for Submodular Maximization with Size Constraints
TCS-2267	We note that our algorithm Icb has non-polynomial running time; we conjecture that without resource augmentation, achieving a subquadratic competitive ratio in polynomial time is […]	A Subquadratic Bound for Online Bisection
TCS-2273	We also note that our negative result leaves open the NSRL problem in the case of function approximation (Jin et al., 2020; Agarwal et al., […]	The complexity of non-stationary reinforcement learning
TCS-2336	Is it true that, for any concept class H, the optimal regret is Θ L(H)T ?	Multiclass Online Learning and Uniform Convergence
TCS-2338	Is it possible to efficiently (in poly(K, C) time) evaluate the maximum entropy ̃ for the problem of Bayesian swap regret?	Pseudonorm Approachability and Applications to Regret Minimization
TCS-2362	For deterministic All-or-One Paging, we conjecture that the optimal ratio is 2k − 1. (For k = 2 we can show an upper bound of […]	Online Paging with Heterogeneous Cache Slots
TCS-2396	We do not know how to evaluate them as we do not have closed-form solution of the value function.	Reinforcement Planning for Effective ε-Optimal Policies in Dense Time with Discontinuities
TCS-2456	Does the result also hold true for H = poly(d)?	Exponential Hardness of Reinforcement Learning with Linear Function Approximation
TCS-2460	We conjecture that bounds of order C(π ∗ ; πB )n are indeed on the regret frontier.	Online Learning with Off-Policy Feedback
TCS-2473	First, while we have some indication that it is hard to obtain algorithms with a competitive ratio better than Θ( n1 ), we leave open […]	Online Coalition Formation Under Random Arrival or Coalition Dissolution
TCS-2503	However, using the bootstrap for inference raises other practical difficulties: it is an open question how to choose m for good performance, and convergence is […]	Asymptotic confidence sets for random linear programs
TCS-2544	Can we obtain a ratio strictly larger than 0.745 also for non-i.i.d. threshold testing?	Threshold Testing and Semi-Online Prophet Inequalities
TCS-2549	Is the Rent Minimization problem strictly harder than the Machine Minimization problem?	Improved Algorithms for Online Rent Minimization Problem Under Unit-Size Jobs
TCS-2570	On the negative side: can we prove a lower bound against the following class of partition-based algorithms?	Matroid Partition Property and the Secretary Problem
TCS-2575	What is the product dimension of Q(p, pp )?	An Improved Lower Bound for Matroid Intersection Prophet Inequalities
TCS-2595	In a general fixed budget identification task de- ⋆ scribed by (D, I, i ), two related questions remain open:	On the Existence of a Complexity in Fixed Budget Bandit Identification
TCS-2612	However, we conjecture that the policy that simply plays the top two arms according to mit also has constant regret, and we leave showing this […]	Online Learning and Bandits with Queried Hints
TCS-2729	Whether the same is achievable under the independence oracle model remains open.	Subquadratic Weighted Matroid Intersection Under Rank Oracles
TCS-2737	We conjecture that at level n the hierarchy would have exact completeness.	A Complete Linear Programming Hierarchy for Linear Codes
TCS-2751	It also remains open to find tight bounds for the case where the direction of movement of the target is unknown.	Line Search for an Oblivious Moving Target
TCS-2787	There is still a gap of 2 comparing to the variant with linear target function and we leave it as an open problem to close […]	Correlated Stochastic Knapsack with a Submodular Objective
