TCS-6446	Quantum PCP: a constant promise gap for local Hamiltonians	The Quantum PCP Conjecture
TCS-0036	BPP versus BQP	Mathematics and Computation (2018 draft)
TCS-0037	NP outside BQP	Mathematics and Computation (2018 draft)
TCS-6448	Does a quantum witness have more power than a classical witness?	Separating Quantum and Classical Advice with Good Codes
TCS-0029	Maximum randomized-versus-quantum gap for total functions	Open Problems Related to Quantum Query Complexity
TCS-6449	Quantum versus classical nonuniform advice	Separating Quantum and Classical Advice with Good Codes
TCS-0033	Quantum query complexity versus bounded approximate degree	Open Problems Related to Quantum Query Complexity
TCS-0861	Is QMA(2) in BQEXP?	TCS Open Problems
TCS-6447	Strong quantum IOPs with polynomial communication	Quantum Interactive Oracle Proofs
TCS-0031	Oracle separation of BQP from IP	Open Problems Related to Quantum Query Complexity
TCS-0034	Quantum query–space tradeoffs for collisions and distinctness	Open Problems Related to Quantum Query Complexity
TCS-0862	Is QRG with constant rounds in PSPACE?	TCS Open Problems
TCS-0866	Learning Quantum Circuits with Queries	COLT / PMLR
TCS-0027	Black-box unitary synthesis	Open Problems Related to Quantum Query Complexity
TCS-0858	Complexity of the EPR Hamiltonian	TCS Open Problems
TCS-0860	Find the complexity of Quantum Approximate Counting (QXC)	TCS Open Problems
TCS-0030	Oracle separation of BQP from efficient-prover interactive proofs	Open Problems Related to Quantum Query Complexity
TCS-0857	Can the QAOA optimize the SK Hamiltonian?	TCS Open Problems
TCS-0028	Injective quantum oracles: standard versus erasing access	Open Problems Related to Quantum Query Complexity
TCS-0032	Quantum hardness of finding an entire glued-tree path	Open Problems Related to Quantum Query Complexity
TCS-0035	Query complexity of high-score cross-entropy sampling	Open Problems Related to Quantum Query Complexity
TCS-0859	Does the position of a fanout gate affect the power of QAC0?	TCS Open Problems
TCS-0863	Errors during Non-Clifford Logical Gates	Quantum Error Correction Meets ZX-Calculus
TCS-0864	Represent GKP Codes Using ZX Diagrams	Quantum Error Correction Meets ZX-Calculus
TCS-0865	ZXify Basic QEC	Quantum Error Correction Meets ZX-Calculus
TCS-1209	We leave it as an open question whether the log-concavity framework developed here can be adapted to handle such local models.	Log-Concavity and Tunneling: Quantum Adiabatic Algorithm for Convex Functions (With a Spike)
TCS-1230	We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.	Denotational Semantics for Stabiliser Quantum Programs
TCS-1259	10 In fact, it is an open problem to exactly implement FANOUT using QAC0 circuits of any size.	Random Unitaries in Constant (Quantum) Time
TCS-1261	We conjecture that 2-designs are computationally secure against QAC0 circuits as well.	Unconditional Pseudorandomness Against Shallow Quantum Circuits
TCS-1262	The bounded-error randomized complexity of the Extremal Forrelation Problem is Ω̃(2n/2 ).	Forrelation Is Extremally Hard
TCS-1263	In general, we do not know how to compute local density matrices of an accepting history state.	The Pure-State Consistency of Local Density Matrices Problem: In PSPACE and Complete for a Class Between QMA and QMA(2)
TCS-1272	We leave open the question of whether we can exploit sparsity in the quantum setting as well.	Randomized and Quantum Approximate Matrix Multiplication
TCS-1298	Every element of the Clifford hierarchy is generalized semi-Clifford.	Characterization of Permutation Gates in the Third Level of the Clifford Hierarchy
TCS-1309	However, it remains open to study protocols with entangled measurements on a large number of samples (e.g. c = poly(d)).	Instance-optimal high-precision shadow tomography with few-copy measurements: A metrological approach
TCS-1324	A proof of the quantum games PCP conjecture was claimed by [25], but it has since been established that the proof had errors, and as […]	Derandomised Tensor Product Gap Amplification for Quantum Hamiltonians
TCS-1334	Moreover, such hardness results appear unlikely: we do not know of any complete problems for even NP ∩ coNP and if the ∃∀-MLH problem were […]	On the Pure Quantum Polynomial Hierarchy and Quantified Hamiltonian Complexity
TCS-1341	An important complexity-theoretic question is whether symmetric quantum circuits are universal for implementing symmetric operations: Given some finite group Γ, can we perform arbitrary Γ-symmetric […]	Symmetric Quantum Computation
TCS-1342	We leave it is an interesting open problem to come up with an algorithms – even ones that run in subexponential time – for cloning […]	The Hardness of Learning Quantum Circuits and Its Cryptographic Applications
TCS-1391	We conjecture that our worst-case lower bounds for phaseless stabilizer StateHSP and stabilizer state cloning similarly extend to the average case.	Cloning is as Hard as Learning for Stabilizer States
TCS-1427	Can we find more applications of the samplizer for pure states?	Sample-Optimal Quantum Estimators for Pure-State Trace Distance and Fidelity via Samplizer
