TCS-5773	Skolem Meets Schanuel — Explicit open question on PDF page 1	Skolem Meets Schanuel
TCS-0491	Can every fixed-dimensional Tarski problem be solved with O(log² n) queries?	Finite and Algorithmic Model Theory (Dagstuhl Seminar 22051)
TCS-0619	Reachability in Low-Dimensional VASS	Automata Exchange
TCS-0632	Complexity of fixed VAS reachability	Automata Exchange
TCS-0575	Tighten the complexity of solving random-turn games	Automata Exchange
TCS-0637	Universal Positivity Set	Automata Exchange
TCS-0633	Eventual non-negativity of Matrices	Automata Exchange
TCS-0634	Is Markov reachability problem Skolem-Hard for Ergodic Markov chains?	Automata Exchange
TCS-0617	Fine Grained Complexity for VAS Boundedness	Automata Exchange
TCS-0622	Fine-grained complexity of reachability in one-counter automata	Automata Exchange
TCS-0628	Bounds on the length of a coverability path in VASS	Automata Exchange
TCS-0639	Reachability for bounded branching VASS	Automata Exchange
TCS-0640	Shortest runs in 3-D VASS	Automata Exchange
TCS-0869	Give a complete (resource free) characterisation of rewrite systems with polynomial derivational complexity.	RTA Open Problems
TCS-0913	Is the word problem for the S -combinator decidable?	RTA Open Problems
TCS-0572	Properties of the value function in weighted timed games	Automata Exchange
TCS-0616	Complexity of Reachability in Fixed-Dimensional Continuous VASS	Automata Exchange
TCS-0620	Semilinearity of 2-BVASS backward reachability set	Automata Exchange
TCS-0621	Bi-reachability in Petri nets with ordered data	Automata Exchange
TCS-0623	Is the Hierarchy of Valence Systems with Open Reachability Proper?	Automata Exchange
TCS-0624	Language Equivalence between Nondeterministic and Deterministic One-Counter Machines	Automata Exchange
TCS-0626	Reachability in Reversible Data VASS	Automata Exchange
TCS-0629	Linear loop synthesis: When d variables are not enough.	Automata Exchange
TCS-0630	Reachability problem for thin 1-GVASS	Automata Exchange
TCS-0636	Universal coverability for Orthant VAS	Automata Exchange
TCS-0638	Continuous reachability in ordered data VAS	Automata Exchange
TCS-0565	Complexity of generalised reachability games with target sets of size 2	Automata Exchange
TCS-0566	Memory requirements of subgame perfect equilibria in reachability games	Automata Exchange
TCS-0568	Strong subgame perfect equilibria	Automata Exchange
TCS-0569	Games under delays and loss	Automata Exchange
TCS-0570	Model checking LTL with team semantics	Logics for Dependence and Independence: Expressivity and Complexity
TCS-0571	Positional Nash Equilibria	Automata Exchange
TCS-0574	Memory requirements for generalized reachability games	Automata Exchange
TCS-0873	Is the word problem for all proper combinators of order smaller than 3 decidable?	RTA Open Problems
TCS-0874	Is there a one-rule string rewriting system that is non-terminating but also non-looping?	RTA Open Problems
TCS-0875	Does every automatic group have a presentation through some finite convergent string-rewriting system? Does every automatic monoid have an automatic structure such that the set of representatives is a prefix-closed cross-section?	RTA Open Problems
TCS-0876	Are the existential fragment or the positive fragment of the theory of one-step rewriting decidable?	RTA Open Problems
TCS-0877	Is strong sequentiality decidable for arbitrary rewrite systems?	RTA Open Problems
TCS-0878	Is the union of two totally terminating rewrite systems, which do not share any symbols, totally terminating?	RTA Open Problems
TCS-0885	Is any “strongly” non-overlapping right-linear term-rewriting system confluent?	RTA Open Problems
TCS-0886	Is confluence of ordered rewriting decidable when the (existential fragment of the) ordering is?	RTA Open Problems
TCS-0890	What sufficient conditions make confluence of general (hyper-)graph rewriting decidable?	RTA Open Problems
TCS-0894	For which equational theories is ground reducibility of extended rewriting decidable?	RTA Open Problems
TCS-0895	Give decidable criteria for left-linear rewriting systems to be Church-Rosser.	RTA Open Problems
TCS-0896	Has any full, finitely-generated and Church-Rosser term-rewriting system (or system with bound variables) a recursive, one-step, normalizing reduction strategy?	RTA Open Problems
TCS-0900	Is left-sequentiality a decidable property of orthogonal systems?	RTA Open Problems
TCS-0901	Is termination of one linear rule decidable?	RTA Open Problems
TCS-0902	Is the decidability of strong sequentiality for orthogonal term rewriting systems NP-complete?	RTA Open Problems
TCS-0904	Is there a decidable uniform word problem for which there is no variant on the rewriting theme that can decide it—without adding new symbols?	RTA Open Problems
TCS-0905	Is there a finite term-rewriting system of some kind for free lattices?	RTA Open Problems
TCS-0564	Complexity of Explorability games on temporal graphs	Automata Exchange
TCS-0567	Permissive strategies for reachability games	Automata Exchange
TCS-0573	Speed of victory in adversarial population games	Automata Exchange
TCS-0615	Complexity of Maximising reachability for target sets of size 1	Automata Exchange
TCS-0618	Normal-closure-equivalence of RAAG- and counter-automata	Automata Exchange
TCS-0625	Membership of a coverability VASS in FO2	Automata Exchange
TCS-0627	$o(n^2)$-time algorithm for coverability in 1-VASS	Automata Exchange
TCS-0631	The time-complexity of coverability in unary 1-VASS	Automata Exchange
TCS-0635	Paired Counter Automata	Automata Exchange
TCS-0641	Variants of one-counter systems universality	Automata Exchange
TCS-0868	Can we use the dependency pair method to prove relative termination?	RTA Open Problems
TCS-0870	Equational axiomatization of graph operations	RTA Open Problems
TCS-0871	Are universality and inclusion of AC-recognizable languages decidable?	RTA Open Problems
TCS-0872	Design new termination methods based on the gap-embedding theorems of Friedman and Kriz.	RTA Open Problems
TCS-0879	Is there a convergent extended rewrite system for ternary boolean algebra, in which certain equations hold?	RTA Open Problems
TCS-0880	Are there hyper-recurrent combinators?	RTA Open Problems
TCS-0881	Does there exist a semigroup theory for which there is a reduced canonical term-rewriting system that is not length decreasing?	RTA Open Problems
