Computational geometry
TCS-0331 [index;problem_family;uncertain] Treewidth of 3-Manifolds
TCS-0209 [index;focused;uncertain] A trivariate hypertree polynomial reflecting triangulation triality
TCS-0311 [index;focused;uncertain] Approximate Simplification of Flag Filtrations
TCS-0312 [index;focused;uncertain] Counting Polyominoes
TCS-0313 [index;focused;uncertain] Covering by Double Disks
TCS-0314 [index;focused;uncertain] DAG Covers for Directed Graph Classes
TCS-0315 [index;focused;uncertain] Fat Minors
TCS-0316 [index;focused;uncertain] Fixed points of compositions of monotone polynomials
TCS-0317 [index;focused;uncertain] Is Finding Positive Euler Characteristic Normal Surfaces FPT?
TCS-0318 [index;focused;uncertain] k -sets
TCS-0319 [index;focused;uncertain] Morphing Long-Geodesic Embeddings on the Sphere
TCS-0320 [index;focused;uncertain] Patterns in Unweighted Planar Graphs
TCS-0323 [index;focused;uncertain] Polygonal representations of knots
TCS-0324 [index;focused;uncertain] Precision of continuous distance problems
TCS-0325 [index;focused;uncertain] Recognition of Strongly Hyperbolic Uniform Disk Graphs
TCS-0326 [index;focused;uncertain] Similarity of Curves (Fréchet Distance)
TCS-0327 [index;focused;uncertain] Simple Polygonalizations
TCS-0328 [index;focused;uncertain] Sparse (1 + ϵ)-emulator for Euclidean Point Sets
TCS-0329 [index;focused;uncertain] Sub-Alpha-Complex in High Dimension
TCS-0330 [index;focused;uncertain] Tree Cover for Unit Ball Graphs
TCS-0332 [index;focused;uncertain] Turning Planar Triangulations Inside Out
TCS-0333 [index;focused;uncertain] Vantage Point Selection
TCS-0334 [index;focused;uncertain] Weak circle representations of planar graphs
TCS-0335 [index;focused;uncertain] Flipping Spanning Trees
TCS-0336 [index;focused;uncertain] Largest Precise Subset (Making Points Precise)
TCS-0337 [index;focused;uncertain] Partial Vertex Cover in Planar Bipartite Graphs
TCS-0338 [index;focused;uncertain] Shortest Path Retaining k Obstacles
TCS-0339 [index;focused;uncertain] Why Are Polytime and NP-Hard Switched for Fréchet and Hausdorff?
TCS-0340 [index;focused;uncertain] Average Distortion Embeddings
TCS-0341 [index;focused;uncertain] Expected Volume of Stochastic Bounding Box
TCS-0342 [index;focused;uncertain] Twin-width of String Graphs
TCS-0343 [index;focused;uncertain] Polyhedral Surface Approximation
TCS-0344 [index;focused;uncertain] Additivity of extension complexity under Cartesian products
TCS-0345 [index;focused;uncertain] Complexity of recognizing perfect plane grid embeddings of trees
TCS-0346 [index;focused;uncertain] Deciding negative contractible walks on genus-two surfaces
TCS-0347 [index;focused;uncertain] Do subcubic trees always admit perfect plane grid embeddings?
TCS-0348 [index;focused;uncertain] Fast separators in Delaunay triangulations and convex hulls
TCS-0349 [index;focused;uncertain] Hamiltonian cycles in first-order Delaunay graphs
TCS-0350 [index;focused;uncertain] Maximum number of weighted separable planar point subsets
TCS-0351 [index;focused;uncertain] Minimum-weight perfect matching with odd red-edge parity
TCS-0352 [index;focused;uncertain] Motion planning with symmetric disconnected direction cones
TCS-0353 [index;focused;uncertain] Near-linear-time weighted planar centerpoints
TCS-0354 [index;focused;uncertain] Recognizing Minkowski sums of zero-one polytopes
TCS-0355 [index;focused;uncertain] Self-improving sorting beyond independent input distributions
TCS-0356 [index;focused;uncertain] Subquadratic preprocessing for substring-LCS comparison queries
TCS-0357 [index;focused;uncertain] Tetrahedron multiplicity from face areas, volume and circumradius
TCS-0358 [index;focused;uncertain] Two-edge-colorings minimizing monochromatic geometric crossings
TCS-0359 [index;focused;uncertain] Finding small polygons with a fixed number of triangulations; simple polygons with a unique triangulation
TCS-0360 [index;focused;uncertain] Is G area-universal?
TCS-0361 [index;focused;uncertain] Minimum k dimensional cut of an n dimensional polytope
TCS-0362 [index;focused;uncertain] Nash equilibria of spanner games
TCS-0363 [index;focused;uncertain] Negative cycles on surface embedded graphs
TCS-0364 [index;focused;uncertain] Stability of Topological Signatures of Graphs
TCS-0365 [index;focused;uncertain] VC-dimension of inflated polynomials
TCS-0366 [index;focused;uncertain] Characterization of Planar Lombardi Graphs
TCS-0367 [index;focused;uncertain] Drawing r-partite hypergraphs
TCS-0368 [index;focused;uncertain] Self-approaching Networks on Planar Point Sets
TCS-0369 [index;focused;uncertain] Small Path Covers in Planar Graphs
TCS-0370 [index;focused;uncertain] Rectangling a Rectangle
TCS-0371 [index;focused;uncertain] Rolling a Die over a Labeled Board
TCS-0372 [index;focused;uncertain] Slicing Axes-Parallel Rectangles
TCS-0373 [index;focused;uncertain] Zipper Unfoldings of Convex Polyhedra
TCS-0374 [index;focused;uncertain] Congruent Partitions of Polygons
