Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-0663 [index;focused;uncertain] Is Interaction Necessary for Order-Optimal 1-bit Mean Estimation?
TCS-0664 [index;focused;uncertain] Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?
TCS-0665 [index;focused;uncertain] Data Selection for Regression Tasks
TCS-0666 [index;focused;uncertain] Fixed-Parameter Tractability of Zonotope Problems
TCS-0667 [index;focused;uncertain] Learning 1-DTA
TCS-0668 [index;focused;uncertain] Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games
TCS-0669 [index;focused;uncertain] Structure-Agnostic Minimax Risk for Partial Linear Model
TCS-0670 [index;focused;uncertain] Can Local Regularization Learn All Multiclass Problems?
TCS-0671 [index;focused;uncertain] Direct Sums in Learning Theory
TCS-0672 [index;focused;uncertain] Tight Characterization of Instance-Optimal Identity Testing
TCS-0673 [index;focused;uncertain] Is There a First-Order Method that Only Converges to Local Minimax Optima?
TCS-0674 [index;focused;uncertain] Learning sparse linear concepts by priming the features
TCS-0675 [index;focused;uncertain] log(n) factor in "Local Glivenko-Cantelli"
TCS-0676 [index;focused;uncertain] Learning sequences
TCS-0677 [index;focused;uncertain] Properly learning decision trees in polynomial time?
TCS-0678 [index;focused;uncertain] Running time complexity of accelerated $\ell_1$-regularized PageRank
TCS-0679 [index;focused;uncertain] Information Complexity of VC Learning
TCS-0680 [index;focused;uncertain] Do Good Algorithms Necessarily Query Bad Points?
TCS-0681 [index;focused;uncertain] How fast can a multiclass test set be overfit?
TCS-0682 [index;focused;uncertain] Monotonicity of Learning
TCS-0683 [index;focused;uncertain] Improper learning of mixtures of Gaussians
TCS-0684 [index;focused;uncertain] The Dependence of Sample Complexity Lower Bounds on Planning Horizon
TCS-0685 [index;focused;uncertain] Meeting Times for Learning Random Automata
TCS-0686 [index;focused;uncertain] Approximate Planning of POMDPs in the class of Memoryless Policies
TCS-0687 [index;focused;uncertain] Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture
TCS-0688 [index;focused;uncertain] Kernel methods on manifolds and metric spaces. What is the probability of a positive definite geodesic exponential kernel?
TCS-0689 [index;focused;uncertain] Property Elicitation and Elicitation Complexity
TCS-0691 [index;focused;uncertain] Recursive Teaching Dimension Versus VC Dimension
TCS-0692 [index;focused;uncertain] A (Missing) Boosting-type Convergence Result for AdaBoost.MH with Factorized Multi-class Classifiers
TCS-0693 [index;focused;uncertain] Finding Good Cascade Sampling Processes for the Network Inference Problem
TCS-0694 [index;focused;uncertain] The Statistical Query Complexity of Learning Sparse Halfspaces
TCS-0695 [index;focused;uncertain] Tightness of maximum likelihood semidefinite relaxations
TCS-0696 [index;focused;uncertain] Lower bounds for Boosting with Hadamard Matrices
TCS-0697 [index;focused;uncertain] Does AdaBoost Always Cycle?
TCS-0698 [index;focused;uncertain] Learning Dynamic Network Models from a Static Snapshot
TCS-1156 [index;source_question_passage;uncertain] Learning with Monotone Adversarial Corruptions | Can we develop techniques to handle monotone adversaries in distributiondependent computational learning settings?
TCS-1157 [index;source_question_passage;uncertain] Relatively Smart: A New Approach for Instance-Optimal Learning | Is ERM relatively smart in the distribution-free setting?
TCS-1180 [index;source_question_passage;uncertain] Robust Online Learning | What about the case where we do not know anything about U but have access to some oracle?
TCS-1181 [index;source_question_passage;uncertain] Privately Estimating Black-Box Statistics | Construct a pair of algorithms Gen and Eval with the following properties. • Given integers n ≥ m ≥ t, Gen produces a (n, m, […]
TCS-1187 [index;source_question_passage;uncertain] Phase Transition for Stochastic Block Model with more than $\sqrtn$ Communities | Is the threshold λc defined in (5) —equivalently (6)— the exact threshold above which weak recovery is possible in polynomial time?
TCS-1189 [index;source_question_passage;uncertain] Capacitated Partition Vertex Cover and Partition Edge Cover | While such primal-dual methods exist for the related Partial Vertex Cover problem [34], developing one for the partition generalization is an open question.
