area,label,group,position,target,count,reviewed,importance_assessed,importance_provisional,before,added,after_pct
Quantum computation,Quantum computation,large,1,50,128,15,29,99,58,70,4.749536178107607
Computational geometry and metric spaces,Computational geometry and metric spaces,large,2,50,212,6,109,103,177,35,7.866419294990724
Computational complexity,Computational complexity,large,3,50,138,14,43,95,80,58,5.120593692022264
Algorithms & data structures,Algorithms & data structures,large,4,50,271,24,32,239,156,115,10.0556586270872
Learning theory,Learning theory,large,5,50,127,4,31,96,89,38,4.712430426716141
Cryptography,Cryptography,large,6,50,68,10,19,49,33,35,2.523191094619666
"Distributed, parallel and sublinear algorithms","Distributed, parallel and sublinear algorithms",large,7,50,172,25,79,93,129,43,6.382189239332097
Automata and formal languages,Automata and formal languages,large,8,50,149,8,69,80,118,31,5.528756957328386
"Semantics, logic and verification","Semantics, logic and verification",large,9,50,180,7,72,108,135,45,6.679035250463822
Optimization and numerics,Optimization and numerics,large,10,50,146,7,47,99,86,60,5.417439703153989
Approximation algorithms and hardness of approximation,Approximation algorithms and hardness of approximation,small,1,20,71,5,8,63,47,24,2.6345083487940633
Parameterized and exact algorithms,Parameterized and exact algorithms,small,2,20,137,2,62,75,104,33,5.083487940630798
Fine-grained complexity,Fine-grained complexity,small,3,20,43,4,13,30,23,20,1.5955473098330242
Pseudorandomness and derandomization,Pseudorandomness and derandomization,small,4,20,67,3,33,34,51,16,2.4860853432282
Proof complexity,Proof complexity,small,5,20,53,5,15,38,30,23,1.966604823747681
Communication complexity and Boolean function analysis,Communication complexity and Boolean function analysis,small,6,20,60,5,25,35,42,18,2.226345083487941
Coding and information theory,Coding and information theory,small,7,20,48,6,22,26,31,17,1.7810760667903525
Algebraic computation,Algebraic computation,small,8,20,77,7,19,58,47,30,2.857142857142857
Lattices and computational number theory,Lattices and computational number theory,small,9,20,29,4,19,10,16,13,1.0760667903525047
Randomized algorithms and sampling,Randomized algorithms and sampling,small,10,20,19,1,3,16,9,10,0.7050092764378478
String algorithms and bioinformatics,String algorithms and bioinformatics,small,11,20,41,7,12,29,27,14,1.5213358070500929
Dynamic graph algorithms,Dynamic graph algorithms,small,12,20,24,5,15,9,15,9,0.8905380333951762
Counting and enumeration,Counting and enumeration,small,13,20,45,2,12,33,27,18,1.6697588126159555
Property testing and distribution learning,Property testing and distribution learning,small,14,20,43,1,20,23,27,16,1.5955473098330242
Differential privacy,Differential privacy,small,15,20,21,3,9,12,10,11,0.7792207792207793
"Algorithmic game theory, mechanism design and fair division","Algorithmic game theory, mechanism design and fair division",small,16,20,41,3,21,20,28,13,1.5213358070500929
Constraint satisfaction,Constraint satisfaction,small,17,20,43,4,11,32,28,15,1.5955473098330242
Scheduling and packing,Scheduling and packing,small,18,20,34,4,18,16,26,8,1.261595547309833
Automated reasoning and unification,Automated reasoning and unification,small,19,20,32,3,9,23,21,11,1.1873840445269017
Database theory and finite model theory,Database theory and finite model theory,small,20,20,42,4,18,24,36,6,1.5584415584415585
Computability and algorithmic information,Computability and algorithmic information,small,21,20,49,6,34,15,42,7,1.8181818181818181
Knowledge representation and reasoning,Knowledge representation and reasoning,small,22,20,11,1,3,8,2,9,0.40816326530612246
Structural graph theory,Structural graph theory,small,23,20,40,7,14,26,19,21,1.484230055658627
Beyond worst-case and average-case analysis,Beyond worst-case and average-case analysis,small,24,20,30,5,8,22,14,16,1.1131725417439704
Miscellaneous,Miscellaneous,small,25,20,4,0,0,4,4,0,0.14842300556586271
