0006R Unique Games: is near-satisfiability NP-hard to distinguish from low value? | On the Unique Games Conjecture
0088 Best approximation ratio for Max Di-Cut | TCS Open Problems
1165 Is there an algorithm with O(1) recourse? | Online Steiner Forest with Recourse
1168 For a constant k > 3, what is the computational complexity of coloring a 2-colorable digraph using at most k colors? | Hardness and Approximation for Coloring Digraphs
1176 Is there a constant α > 0 such that there exists a polynomial-time α- approximation algorithm for MMRO? | Maximum Reachability Orientation of Mixed Graphs
1220 We conjecture that √ Ω( n) is necessary to achieve approximation ratio 2. | On the Stability of Minimum-Weight Perfect Matching on the Line
1225 For example, can we remove the log(m + n) factor in Theorem 2 so that it matches the lower bound in Theorem 3? | Nearly Instance Optimal Sparse Matrix Approximation from Matrix-Vector Products
1236 Is torso treewidth the “best possible” structural parameter on (G, χ) that, when bounded, Steiner Tree can be solved in polynomial time? | Colorful Minors
1243 There is a polynomial-time (log1+o(1) k)-approximation algorithm for the all-or-nothing flow problem. | Expander Decomposition with Almost Optimal Overhead
1245 A general analysis of unhappy paths in 2D remains open for future work. | A Constant-Factor Approximation for Continuous Dynamic Time Warping in 2D
1350 None of the known techniques for computing or approximating treewidth [1, 41, 13, 14, 34] seem directly applicable to bilateral treewidth, and in fact the […] | Bilateral Treewidth for QBF: Where Strategies and Resolution Meet
1374 We are not aware of a subquadratic time algorithm for this problem, and we leave this as an open problem. | Fast Algorithms for Continuous Optimal Transport Between Histograms
1384 Finding sufficient conditions for this variant, as well as developing approximation algorithms, remains an open problem. | Segment Watchman Routes
1407 For example, can we show that Ω( 1ϵ ) matching computations are necessary to obtain a (1 − ϵ)-approximation? | On the Assadi–Liu–Tarjan Auction Algorithm for Bipartite Matching: Simplification, Alternative Analysis, and Hard Instance
1411 Moreover, does the problem admit a PTAS? | On the Complexity of Multipacking
1463 If not, what is its approximation complexity? | A Permanental Analog of the Rank-Nullity Theorem for Symmetric Matrices
1471 Is there a deterministic algorithm for hyperbolic TSP without dependence on the diameter of the input? | Gap-ETH-Tight Algorithms for Hyperbolic TSP and Steiner Tree
