0699 Applications of Correlated Sampling from the Hypersimplex | Online Algorithms beyond Competitive Analysis
0867 Sampling of Rare Fitness Values | Estimation-of-Distribution Algorithms: Theory and Applications
1158 Given a partially observable Markov chain M = (Ω, P, O), candidate initial states a, b ∈ Ω, and hidden initial state X0 ∈ {a, […] | Markov Chains with Rewinding
1255 The hitting time robustness is Ω(1/∆), where ∆ denotes the diameter. | Markov Chain Robustness
1368 We view Theorem 1.6 as further evidence that one can likely obtain polylog(m) rounds and poly(m) queries, though we leave this as an open question. | Bounded-Independence Sampling of Edges for Combinatorial Graph Properties
1381 Is this inherent, and is Θ(log k) the optimal stretch given Properties P1 and P2? | Dimension-Free Correlated Sampling for the Hypersimplex
1640 For each ∆ and q ≥ 2∆ there is an FPRAS for counting the number of q-list packings of graphs of maximum degree ∆. | Sampling List Packings
1693 For example, it remains open for the Sherrington-Kirkpatrick model, for a PI/LSI w.r.t. the Glauber Dynamics. | Optimization, Isoperimetric Inequalities, and Sampling via Lyapunov Potentials
1967 We leave it as an open question to find a counterexample where the transition matrix is the simple random walk matrix of a graph. | On the Houdré-Tetali Conjecture About an Isoperimetric Constant of Graphs
2030 Is there a specific graph for which all Markovian strategies are suboptimal? | Fraud Detection for Random Walks
2076 If 0 ≤ β < βu or if β > βu and |η| > ηa , then the Kawasaki dynamics for µ̂G,β,η are optimally mixing: […] | Fast and Slow Mixing of the Kawasaki Dynamics on Bounded-Degree Graphs
2116 In any case, we leave improving this dependence for near-linear time samplers as an open problem. | Near-Linear Time Samplers for Matroid Independent Sets with Applications
2340 Does there exist an α > 1/5 such that for every connected d-regular graph G on n vertices and every vertex u of G, a […] | The Support of Open Versus Closed Random Walks
2661 Is there a natural KLS conjecture for Hessian manifolds? | The Manifold Joys of Sampling (Invited Talk)
2886 Does there exist a column in A all of whose entries are 1? | Counting and Sampling from Substructures Using Linear Algebraic Queries
2915 Can we characterize the groups for which the kernel method suffices? | Mixing in Non-Quasirandom Groups
3148 Unfortunately, we do not know how to show this for the commutativity definition of [23]. | A New Notion of Commutativity for the Algorithmic Lovász Local Lemma
3157 We leave as an open question, whether a modification of the approach in [12] can be applied to further improve our mixing time result. | A Spectral Independence View on Hard Spheres via Block Dynamics
3299 For example, extending the bound tcov (π) = Ω((n/k) log n) to this case would be very interesting. (k) In Theorem 2 we prove tcov […] | Multiple Random Walks on Graphs: Mixing Few to Cover Many
3510 How about ith neighbor queries? | Local Access to Huge Random Objects Through Partial Sampling
3590 However, we do not know if better bounds are true for 3-wise independent random walks. | Pairwise Independent Random Walks Can Be Slightly Unbounded
4026 It remains an open question whether one can obtain good upper bounds for the | Random Walks on Polytopes of Constant Corank
4510 As this is an open problem in graph theory, the bounds we use are far from tight. | Sequential Importance Sampling Algorithms for Estimating the All-Terminal Reliability Polynomial of Sparse Graphs
4871 Markov Chains with Rewinding — Unresolved-question passage on page 4 / We leave open the question of whether the number of states in the Markov chain can be removed from the run-time exponent. | Markov Chains with Rewinding
5062 Counting and Sampling from Substructures Using Linear Algebraic Queries — Unresolved-question passage on page 18 / Can we solve some other linear algebraic problems using IP queries? | Counting and Sampling from Substructures Using Linear Algebraic Queries
5063 Mixing in Non-Quasirandom Groups — Unresolved-question passage on page 7 / First, can we characterize groups which admit non-trivial mixing? | Mixing in Non-Quasirandom Groups
5091 A Spectral Independence View on Hard Spheres via Block Dynamics — Unresolved-question passage on page 12 / Especially: is the mixing time for block dynamics for the univariate hard-core model polynomial in the number of blocks for any block cover? | A Spectral Independence View on Hard Spheres via Block Dynamics
5386 Multiple Random Walks on Graphs: Mixing Few to Cover Many — Explicit open question on PDF page 1 / Although the cover time of multiple walks has been investigated for many natural networks, the problem of finding a general characterisation of multiple cover times […] | Multiple Random Walks on Graphs: Mixing Few to Cover Many
5480 Approximate Sampling and Counting of Graphs with Near-Regular Degree Intervals — Unresolved-question passage on page 16 / Can one come up with an algorithm in which resampling certain “bad events” (e.g., resampling edges adjacent to a node not satisfying its degree interval […] | Approximate Sampling and Counting of Graphs with Near-Regular Degree Intervals
5557 The Manifold Joys of Sampling (Invited Talk) — Question 42 / Given a metric g, an initial point x0 and a time interval t, give an algorithm to sample from the distribution of Brownian motion on […] | The Manifold Joys of Sampling (Invited Talk)
5909 On a Class of Gibbs Sampling over Networks — Explicit open question on PDF page 7 / To the best of our knowledge, it is an open problem without assuming stronger conditions. | On a Class of Gibbs Sampling over Networks
6192 Sampling in Potts Model on Sparse Random Graphs — Explicit open question on PDF page 3 / A drawback of the current approaches based on correlation decay is that we do not know how to use this approach to get an algorithm […] | Sampling in Potts Model on Sparse Random Graphs
6402 Multiple Random Walks on Paths and Grids — Explicit open question on PDF page 2 / While some progress has been made towards establishing weaker version of these conjectures (cf. [8, 7]), it is still unknown whether they hold in full […] | Multiple Random Walks on Paths and Grids
6621P Rapid mixing of Glauber dynamics with Delta+2 colours | Research reference · arXiv 2010.16158
6622P The Kannan-Tetali-Vempala switch-chain conjecture | Research reference · drops.dagstuhl.de
6668P Polynomial mixing of critical three-dimensional Ising dynamics | Log-Sobolev inequality for near critical Ising models
