0834 Estimating a Graph's Degree Distribution | Sublinear.info
0835 Identity Testing up to Coarsenings | Sublinear.info
0836 Non-Adaptive Group Testing | Sublinear.info
0837 Vertex-Distribution-Free Graph Testing | Sublinear.info
0838 Dense Graph Property Testing “Tradeoffs” | Sublinear.info
0839 AM vs. NP for Proofs of Proximity in Distribution Testing | Sublinear.info
0840 Beyond Identity Testing | Sublinear.info
0841 Equivalence Testing with Conditional Samples | Sublinear.info
0842 Instance-Specific Hellinger Testing | Sublinear.info
0843 Correcting Independence of Distributions | Sublinear.info
0844 Open Problems in $L_p$-Testing | Sublinear.info
0845 Distinguishing Distributions with Conditional Samples | Sublinear.info
0846 Learning an $f$-Transformed Product Distribution | Sublinear.info
0847 Testing Acyclicity | Sublinear.info
0848 Testing Submodularity | Sublinear.info
0849 Group Testing | Sublinear.info
0850 Open-Shortest-Path-First Routing | Sublinear.info
1025 Exact homomorphism-test rejection versus distance | Introduction to Property Testing (April 2017 manuscript)
1026 Characterizing near-optimal monotonicity path testers | Introduction to Property Testing (April 2017 manuscript)
1027 Subquadratic proximity dependence for dense bipartiteness | Introduction to Property Testing (April 2017 manuscript)
1028 Preserving bipartiteness distance by vertex sampling | Introduction to Property Testing (April 2017 manuscript)
1029 Sharp graph-removal bounds for fixed patterns | Introduction to Property Testing (April 2017 manuscript)
1030 Characterizing polynomial-query dense graph properties | Introduction to Property Testing (April 2017 manuscript)
1031 Nonrelaxed local reduction from acyclicity to bipartiteness | Introduction to Property Testing (April 2017 manuscript)
1032 Deterministic local reduction from acyclicity to bipartiteness | Introduction to Property Testing (April 2017 manuscript)
1033 Quantifying tolerant-testing overhead for graph classes | Introduction to Property Testing (April 2017 manuscript)
1314 As discussed in Appendix A, it remains open to establish the optimal sample complexity when the dependence on the failure probability δ is explicitly incorporated. | A Distribution Testing Approach to Clustering Distributions
1400 What is the query complexity of testing dictatorship and juntas (see [10] for a survey on testing juntas)? | Property Testing of Computational Networks
1502 First, we do not know whether the O log T convergence rate of our algorithm can be improved, or whether a matching lower bound can […] | Multi-distribution Learning: From Worst-Case Optimality to Lexicographic Min-Max Optimality
1825 What if we desire vertex disjoint paths? | Directed Hypercube Routing, a Generalized Lehman-Ron Theorem, and Monotonicity Testing
2132 We conjecture so, and proving this would be an interesting (and non-trivial) future direction. | Private Distribution Testing with Heterogeneous Constraints: Your Epsilon Might Not Be Mine
2224 How efficiently can one detect and select collectors with complementary expertise, and combine their expertise? | Distribution Testing with a Confused Collector
2345 What can we say about the structure of commutators of multilinear bounded-read arithmetic formulae? | Towards Identity Testing for Sums of Products of Read-Once and Multilinear Bounded-Read Formulae
2452 Second, we do not know how to generate samples from µF,β (· | Ω0 ) efficiently in polynomial time. | Complexity of High-Dimensional Identity Testing with Coordinate Conditional Sampling
2535 For every Lipschitz function f : [0, 1]n → R, it holds that | Directed Poincaré Inequalities and L¹ Monotonicity Testing of Lipschitz Functions
2572 Can we exactly characterize (up to a polynomial-size equivalence) the expressive power of linear pencil representations for some sub-class of rational circuits? | On Identity Testing and Noncommutative Rank Computation over the Free Skew Field
3119 Specifically, note that Y ′ (resp., Y ′′ ) is o(1)-close to being uniformly distributed over S ′ (resp., {0, 1}ℓ+4−t ). 45 Unlike in […] | Robustly Self-Ordered Graphs: Constructions and Applications to Property Testing
3180 Can the exponent in Theorem 1 be improved to O(k)? | Deterministic Identity Testing Paradigms for Bounded Top-Fanin Depth-4 Circuits
3717 Can O(1)-round algorithms solve the problem with poly(k/ ) queries? | Almost Optimal Distribution-Free Junta Testing
