0011 Does EFX always exist? | TCS Open Problems
0056 Best α for α-MMS existence | TCS Open Problems
0057 Course Allocation Among Faculty Members | Fair Division: Algorithms, Solution Concepts, and Applications
0058 Delegated Fair Division | Fair Division: Algorithms, Solution Concepts, and Applications
0059 Fair Division in Metric Spaces | Fair Division: Algorithms, Solution Concepts, and Applications
0060 Fair Division of Chores with Budget Constraints | Fair Division: Algorithms, Solution Concepts, and Applications
0061 Golden Ticket Mechanisms | Fair Division: Algorithms, Solution Concepts, and Applications
0062 Inter-profile Axioms in the Allocation of Indivisible Goods | Fair Division: Algorithms, Solution Concepts, and Applications
0063 Altruistic Hedonic Games (Short talk) | Computational Social Dynamics
0064 Condorcet outcome for m independent binary issues | Computational Social Dynamics
0065 Interval cover for spatial crowdsourcing – Improving approximation | Computational Social Dynamics
0066 Optimizing over Serial Dictatorships – Lower bound for optimal matching | Computational Social Dynamics
0067 Tractability frontier of justice criteria under submodular valuations | Computational Social Dynamics
0072 Complexity of equilibria in asymmetric two-player network congestion games | Equilibrium Computation
0073 Complexity of mixed equilibria in identical-payoff polymatrix games | Equilibrium Computation
0074 Equilibrium hardness using only non-monotone utilities | Equilibrium Computation
0075 Maximum number of extreme equilibria in five-by-five bimatrix games | Equilibrium Computation
0076 Polynomial-time equilibrium computation for all monotone utility classes | Equilibrium Computation
0077 Structure of equilibria in noisy-channel signaling games | Equilibrium Computation
0078 Fair Division of a Max-Flow | Interface of Computation, Game Theory, and Economics
1090 Pareto-optimal equilibrium hardness in win-lose games | The Existential Theory of the Reals as a Complexity Class: A Compendium
1091 Consensus-halving hardness for polynomial valuations | The Existential Theory of the Reals as a Complexity Class: A Compendium
1108 EF1 existence for arbitrary mixed-item utilities | Mixed Fair Division: A Survey
1109 EF1 and Pareto optimality for additive mixed items | Mixed Fair Division: A Survey
1110 Finite Robertson–Webb protocols for EFM allocations | Mixed Fair Division: A Survey
1111 Compatibility of EFM with Pareto optimality | Mixed Fair Division: A Survey
1112 EFM existence for indivisible chores plus cake | Mixed Fair Division: A Survey
1113 Truthful EFM for three or more binary-additive agents | Mixed Fair Division: A Survey
1114 Subquadratic envy-eliminating subsidies for monotone utilities | Mixed Fair Division: A Survey
1115 Polynomial-time EF1 and Pareto-optimal goods allocation | Fair Division of Indivisible Goods: A Survey
1116 Optimal universal approximation factor for EFX | Fair Division of Indivisible Goods: A Survey
1117 Exact EFX after donating sublinearly many goods | Fair Division of Indivisible Goods: A Survey
1118 Existence of envy-freeness up to a random good | Fair Division of Indivisible Goods: A Survey
1119 Existence of pairwise maximin-share allocations | Fair Division of Indivisible Goods: A Survey
1120 Optimal approximation factor for groupwise maximin shares | Fair Division of Indivisible Goods: A Survey
1148 Is there an efficient algorithm that uses algebraic methods in a more direct manner, avoiding the use of numerical approximation? | Computing Equilibrium Points of Electrostatic Potentials
1223 The most intriguing question we leave open is the gap between the problem’s complexity for pathwidth and treewidth. | Pure Nash Equilibria in Graphical Games of Bounded Width Revisited
1260 We leave as an open question whether there exist simple-to-participate mechanisms for unbounded distributions for blocks with a finite capacity. | Characterizing Off-Chain Influence Proof Transaction Fee Mechanisms
1273 It remains open whether games in which all players have only reachability objectives, or only safety objectives, admit positional NEs, ENEs, or SPEs. | Simple Nash Equilibria for Qualitative Multiplayer Games
1521 Our work provides a framework through which to ask: how does the presence of these parties ultimately impact the service users receive? | Analyzing the Economic Impact of Decentralization on Users
1598 The existence of EFX allocations for general multi-graphs with positively valued edges remains an open problem. | Extending EFX Allocations to Further Multi-Graph Classes
1651 Like in the case of ERSEs, we conjecture that existence, and even existence of a stationary XRSE, remain true in the general case. | Finding Equilibria: Simpler for Pessimists, Simplest for Optimists
1708 We conjecture that single-shot sealed bid auction protocols, such as those of [12, 4, 9, 24, 6, 13], can also be instantiated on top of […] | pod: An Optimal-Latency, Censorship-Free, and Accountable Generalized Consensus Layer
1711 In particular, it remains an open question whether a weak sEF1 allocation always exists when the number of dimensions is two and the number of […] | Simultaneously Fair Allocation of Indivisible Items Across Multiple Dimensions
1752 It is an open question to identify reduction frameworks for these different models of access to the distributions. | Combinatorial Pen Testing (Or Consumer Surplus of Deferred-Acceptance Auctions)
2014 We leave as an immediate open problem whether it can give an O(1)-approximation for the weighted Nash Social Welfare problem with submodular valuations. | A Note on Approximating Weighted Nash Social Welfare with Additive Valuations
2136 Currently, we do not know whether this extra assumption (besides known-h) is needed to overcome the zero miner-revenue limitation. | Maximizing Miner Revenue in Transaction Fee Mechanism Design
2264 It would be an interesting future direction to examine whether the insights we give in this work change in such cases; we conjecture that they […] | A Myersonian Framework for Optimal Liquidity Provision in Automated Market Makers
2537 Is the total search version of UniqueTarski in the class UEOPL (Unique-EOPL) [6]? | Reducing Tarski to Unique Tarski (In the Black-Box Model)
2574 Can the welfare loss due to aftermarkets be bounded for other auction formats? | Making Auctions Robust to Aftermarkets
2603 Since the probabilistic ideas underlying our algorithm are quite substantial, we have stated them formally, after assuming the No-Surpassing Property, and we leave the open […] | Towards a Practical, Budget-Oblivious Algorithm for the Adwords Problem Under Small Bids
2606 A formal analysis of this allocation process (as well as of other, related balls-into-bins processes) is beyond the scope of our paper and remains an […] | Dynamic Averaging Load Balancing on Arbitrary Graphs
2630 √ a matching regret of Θ(e T).14 But, what if the seller still has the weak data access yet the distributions are distinct and even […] | Learning Reserve Prices in Second-Price Auctions
2728 We leave it open whether a PROPavg allocation can be found in polynomial time or not. | Proportional Allocation of Indivisible Goods up to the Least Valued Good on Average
2738 Can we hope to obtain a similar characterization for moral mechanisms? | Mechanism Design with Moral Bidders
2885 What would be the specifications for decentralized exchanges (for cryptocurrencies)? | The Design and Regulation of Exchanges: A Formal Approach
2911 Does an intermediary-proof mechanism exist for the case when the buyers’ valuations are regular? | Maximizing Revenue in the Presence of Intermediaries
2953 Note that the existing construction of [24] implies a Ω(log1−ϵ p) lower bound with respect to this parameter, but we do not know whether this […] | Optimal Deterministic Clock Auctions and Beyond
3072 For example, it is still an open question following [15] what is αk (T 1/2 ) for any k > 2. | Approximately Strategyproof Tournament Rules in the Probabilistic Setting
3231 Is the problem of designing the optimal mechanism when the ex-post utilities also depend on the actions of the other buyers tractable? | How to Sell Information Optimally: An Algorithmic Study
3265 We leave it open whether computing an optimal star decomposition of a graph is in P , although it follows from our results that it […] | Truthful Allocation in Graphs and Hypergraphs
3493 Is there some relationship between best-of-k and Majority? | Quasi-Majority Functional Voting on Expander Graphs
3508 Their focus is on the question of generalization: given a classifier that is envy-free on a sample, is it approximately envy-free on the underlying distribution? | Preference-Informed Fairness
3509 Is Tarski in CLS (or in EOPL)? | Tarski’s Theorem, Supermodular Games, and the Complexity of Equilibria
3616 Is it still true that for more general networks providers only invest in shortest paths in equilibrium? | Network Investment Games with Wardrop Followers
3628 What is the complexity of finding an EF1 or EF2 allocation on a path? | Almost Envy-Free Allocations with Connected Bundles
3705 We conjecture that this intuition holds even for smaller coalitions, up to a single cheater. | Consensus in Equilibrium: Can One Against All Decide Fairly?
3776 How does inequity affect the formation of groups and thus cooperation between different groups? | Wealth Inequality and the Price of Anarchy
3857 We instead address the following question: can cardinal mechanisms with low distortion be very different from ordinal mechanisms? | On the Welfare of Cardinal Voting Mechanisms
3867 However, we do not know whether or not polynomial running time can be guaranteed. | Efficient Black-Box Reductions for Separable Cost Sharing
3925 It remains open to describe an approximation algorithm that has a better performance guarantee, and/or to prove a stronger lower bound on the inapproximability of […] | A 3/2-Approximation Algorithm for the Student-Project Allocation Problem
4151 Also, while we know that non-integral strategies may be better than integral ones, we do not know whether strategies that use rational numbers are as […] | Flow Games
4158 It is an open question whether there is a polynomial-time algorithm to find a fair assignment of minimum loss, or even to determine whether a […] | Inherent Trade-Offs in the Fair Determination of Risk Scores
4249 At the moment, it remains open whether every input admits a committee that provides this form of justified representation; it is known that PAV may […] | Justified Representation in Multiwinner Voting: Axioms and Algorithms
4343 However, it remains an open question whether there is a upperbound less that 43 independent of both the discrepancy between the links and the number […] | An Improved Tax Scheme for Selfish Routing
4400 Does Randomized Global Greedy have o(n) unfairness on the star or on the line? | Carpooling in Social Networks
4416 Can we find a connection to control by deleting a player in a cooperative game with transferable utility? | Structural Control in Weighted Voting Games
4515 Contrarily to quantitative reachability games, we do not know if a weak SPE always exists for games in this class. | Weak Subgame Perfect Equilibria and their Application to Quantitative Reachability
4573 The central open problem if Nash Equilibrium has a polynomial time approximation scheme remains open. | The Cover Number of a Matrix and its Algorithmic Applications
4584 In fact, even the existence of Nash equilibria in such games is an open problem: it was believed until recently that there are two-player games […] | Mixed Nash Equilibria in Concurrent Terminal-Reward Games
4748 Computing Equilibrium Points of Electrostatic Potentials — Open Problem 2 / Is there an efficient algorithm for computing weak (or strong) approximate equilibrium points of electrostatic potentials when the dimension d is not fixed? | Computing Equilibrium Points of Electrostatic Potentials
4889 A Lower Bound for Local Search Proportional Approval Voting — Explicit open question on PDF page 4 / Indeed, it remains an open problem to determine if the best-response variant of ls-PAV may take superpolynomially many steps. | A Lower Bound for Local Search Proportional Approval Voting
4890 Competitive Query Minimization for Stable Matching with One-Sided Uncertainty — Explicit open question on PDF page 4 / It remains open whether O(1)-competitive algorithms exist for the problems of finding a stable matching or verifying a B-optimal matching with set queries. | Competitive Query Minimization for Stable Matching with One-Sided Uncertainty
4909 Scalable Auction Algorithms for Bipartite Maximum Matching Problems — Explicit open question on PDF page 1 / They leave as an open problem whether an auction algorithm, with similar guarantees, can be found for the maximum weighted bipartite matching (MWM) problem. | Scalable Auction Algorithms for Bipartite Maximum Matching Problems
4944 Truthful Allocation in Graphs and Hypergraphs — Explicit open question on PDF page 4 / 1.2 Related Work The Nisan-Ronen conjecture [39] has become one of the central problems in Algorithmic Game Theory, and despite intensive efforts it remains open. | Truthful Allocation in Graphs and Hypergraphs
4945 Open Problem: Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games — Unresolved-question passage on page 4 / Whether uncoupled no-regret learners can achieve optimal sample complexity in this special case remains an open question. | Open Problem: Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games
4970 Selfish Robustness and Equilibria in Multi-Player Bandits — Unresolved-question passage on page 12 / In particular, punishment protocols do not seem possible for general heterogeneous settings and the existence of robust algorithms for any heterogeneous setting remains open. | Selfish Robustness and Equilibria in Multi-Player Bandits
5072 Price of Competition and Dueling Games — Explicit open question on PDF page 5 / Immorlica et al. [19] leave the problem of analyzing the social welfare of competitive algorithms as their main open question. | Price of Competition and Dueling Games
5135 Consensus in Equilibrium: Can One Against All Decide Fairly? — Unresolved-question passage on page 12 / Does an equilibrium for multi-valued consensus exist for coalitions of size n − 2 or less? | Consensus in Equilibrium: Can One Against All Decide Fairly?
5195 Tight SoS-Degree Bounds for Approximate Nash Equilibria — Explicit open question on PDF page 5 / Despite this series of coincidences, it is still an open question to find a common explanation of the performance of both types of algorithms. | Tight SoS-Degree Bounds for Approximate Nash Equilibria
5227 One Action Too Many: Inapproximability of Budgeted Combinatorial Contracts — Explicit open question on PDF page 4 / 2 Whether a separation between GS and submodular rewards also appears in the multi-agent binary-actions setting remains an open problem: While constant-factor approximations are known […] | One Action Too Many: Inapproximability of Budgeted Combinatorial Contracts
5228 Counting Equitable k-Colorings in Graphs of Bounded Clique-Width — Explicit open question on PDF page 3 / For ordinary k-Coloring (which asks whether a given graph is k-colorable) on Pt -free graphs, polynomial-time algorithms are known for t ≤ 5 [19], for […] | Counting Equitable k-Colorings in Graphs of Bounded Clique-Width
