0914 Deterministic min-cost matching with delays | Scheduling
0915 Algorithmic Problems Combining Network Design, Routing, and Scheduling | Scheduling
0916 Distributed Computation on Speed Scalable Processors | Scheduling
0917 Online Buffers on the Line | Scheduling
0918 Approximate Mixed-Criticality Scheduling | Scheduling
0919 Are Existentially Scalable Algorithms Really Necessary? | Scheduling
0920 Exact Speedup Factor for Fixed Priority Pre-emptive versus Fixed Priority Non-pre-emptive Scheduling | Scheduling
0921 Flow Time Scheduling on a Line Network | Scheduling
0922 Generalized assignment | Scheduling
0923 Multiprocessor Sleep-State Scheduling | Scheduling
0924 Precedence-Constrained Scheduling on Identical Machines to minimize weighted completion time | Scheduling
0925 Scheduling and Load Balancing with Recourse | Scheduling
0926 Scheduling with state-dependent machine speed | Scheduling
0927 Stochastic and Multi-Dimensional Scheduling, Generalized Min-Sum Set Cover | Scheduling
0928 Wireless Scheduling (2016 formulation) | Scheduling
0929 Feedback Arc Set Problems with Near-metric Weights | Packing and Scheduling Algorithms for Information and Communication Services
0930 Fixed-parameter Tractable Scheduling Problems | Packing and Scheduling Algorithms for Information and Communication Services
0931 Implementing the Sum-of-Squares Bin-Packing Algorithm | Packing and Scheduling Algorithms for Information and Communication Services
0932 Scheduling with Buffering on the Line | Packing and Scheduling Algorithms for Information and Communication Services
0933 Wireless Scheduling | Packing and Scheduling Algorithms for Information and Communication Services
0934 Equal-length job scheduling with windows | Antoine Amarilli: research questions
0935 Unit-job precedence scheduling complexity | Antoine Amarilli: research questions
1145 Is there a function f : N → N such that all ℓ-system CBGT instances admit an f (ℓ)-height schedule? | Combinatorial Perpetual Scheduling: Existence and Computation of Low-Height Schedules
1177 Can the approximation ratio be improved further? | A Practical 73/50 Approximation for Contiguous Monotone Moldable Job Scheduling
1268 Regarding the presented lower and upper bounds for the optimal makespan, we conjecture that they are not optimal for large instances. | Freeze-Tag with Return
1288 Determining the exact approximation ratio of the BL algorithm remains an open and intriguing problem. | A 13/6-Approximation for Strip Packing via the Bottom-Left Algorithm
1335 We conjecture that Position Matching (and thus also 2-Visits) is FPT by the number of numbers of D, as is standard for numerical matching variants […] | Hardness, Tractability and Density Thresholds of Finite Pinwheel Scheduling Variants
1372 In this context, combining ϕ with the number of distinct job energies remains open. | Scheduling Tasks Towards Energy Autarky: Benefits and Computational Costs of Flexibility
1509 Does there exist an instance (L, W, a, b) of the PLP where the optimal weight does not correspond to the size of an optimal […] | 1038 A10s Fit into One A0
1527 A first future work may complete this investigation for the FST A model, and then consider the inter-model relations (e.g., what is the relation between […] | Computational Power of Energy-Constrained Autonomous Robots Under Sequential Schedulers
1554 What are the optimal competitive ratios for eventually/never-committing schedulers? | When to Give up on a Parallel Implementation
1858 What is the complexity of the resulting problem? | Repairing Schedules by Removing Waiting Times: A Parameterized Complexity Analysis
1938 Is there a constant c such that every Decision Poly Scheduling instance Pd = (P, R, f ) with poly density h̄∗ (Pd ) ≤ […] | Polyamorous Scheduling
2139 We conjecture that a polynomial time algorithm exists for this setting; however, at present, no such algorithm has been found. | Brief Announcement: Collision-Free Robot Scheduling
2210 Is 1 | rj | wj Uj fixed-parameter tractable when parameterized by p# and all numbers are encoded unarily? | Single-Machine Scheduling to Minimize the Number of Tardy Jobs with Release Dates
2258 When deadlines are not agreeable and jobs have heights, we do not know how to extend our 8-competitive algorithm (Algorithm 2), even when jobs are […] | Online Flexible Busy Time Scheduling on Heterogeneous Machines
2367 √ We conjecture that GMP admits an O( log n) approximation, based on suitably rounding the configuration LP. | On Minimizing Generalized Makespan on Unrelated Machines
2388 For the setting where we minimize the total completion time, it remains open whether NP-hardness holds for uniform testing cost. | Scheduling with a Limited Testing Budget: Tight Results for the Offline and Oblivious Settings
2406 In particular, does the existence of a c-sparsifier of degree 1/p imply a contention resolution scheme with balance c? | On Sparsification of Stochastic Packing Problems
2515 First, we conjecture that our results extend easily to the setting with non-uniform job sizes. | Scheduling Under Non-Uniform Job and Machine Delays
2648 What is the parameterized complexity of Unweighted Interval Scheduling on Unrelated Machines when parameterized by the number m of machines? | Hardness of Interval Scheduling on Unrelated Machines
2677 Unfortunately, we do not know how to find the perfect matching in polynomial time even though its existence is implied by Theorem 2. | Integrality Gap of Time-Indexed Linear Programming Relaxation for Coflow Scheduling
2894 For example, what if the follower’s optimization problem is a bin packing problem? | Approximation Algorithms for Interdiction Problem with Packing Constraints
2904 Does√ any connected arrangement of n robots with diameter D ≤ n allow a makespan of O( D)? | Efficiently Reconfiguring a Connected Swarm of Labeled Robots
3006 Several interesting problems remain open. (i) Can we close the gap between lower bound of Ω(K) and upper bound of O(K 3 log2 K)? | Bag-Of-Tasks Scheduling on Related Machines
3408 The machinery to prove such results currently is not available, but we conjecture that also the variants with minimum delays inhibit some form of compositionality […] | Parameterized Complexity of Scheduling Chains of Jobs with Delays
3421 From the algorithmic perspective, it remains open whether any of the studied problems and RAI in particular admits an approximation algorithm with a rate smaller […] | Inapproximability Results for Scheduling with Interval and Resource Restrictions
3441 We leave it as an open problem whether this is inherent or Theorem 1.3 can be improved. | Scheduling Lower Bounds via AND Subset Sum
3499 What is the complexity for smaller numbers of job types? | Complexity of Scheduling Few Types of Jobs on Related and Unrelated Machines
3589 We leave finding an optimal solution for the general case (or showing hardness), as an open problem. | Robust Appointment Scheduling with Heterogeneous Costs
3639 It is an open question to characterize the inclusions among all the various models in the case of disoriented robots with non-rigid movement. | On Memory, Communication, and Synchronous Schedulers When Moving and Computing
3746 Could a similar analysis be used when jobs arrive over time? | Scheduling to Approximate Minimization Objectives on Identical Machines
3849 It is unknown whether a temporary type 1 container will eventually be positive or negative. | A New and Improved Algorithm for Online Bin Packing
3916 Choice of Parameters What remains open in the description of the algorithm is the concrete assignment of bin types and the choice of the parameters […] | Fully-Dynamic Bin Packing with Little Repacking
4010 If there are k servers, does a kind of greedy algorithm still work well? | Car-Sharing between Two Locations: Online Scheduling with Two Servers
4085 Also, for identical machines it remains open whether there is an EPTAS (which exists without the bag-constraints [12, 13, 10, 11, 17]). | On Minimizing the Makespan When Some Jobs Cannot Be Assigned on the Same Machine
4105 We conjecture that a makespan of O( N ) for a polyomino with N tiles can be achieved. | Tilt Assembly: Algorithms for Micro-Factories that Build Objects with Uniform External Forces
4203 Does there exist a 2O(k log k) · |V |O(1) -time algorithm for Cycle Packing? | Packing Cycles Faster Than Erdos-Posa
4213 First, is there an O(1)-approximation algorithm for offline Round-UFPP? | Improved Algorithms for Scheduling Unsplittable Flows on Paths
4298 The question whether there exists protocols with exponential positive cut-offs remains open. | Reachability in Networks of Register Protocols under Stochastic Schedulers
4393 Or, more specifically, can we eliminate the speed augmentation or replace it by a new rejection rule in the presented results? | Online Non-Preemptive Scheduling in a Resource Augmentation Model Based on Duality
4436 We have designed algorithms for both preemptive and non-preemptive scheduling of such workloads, but have not yet been able to classify the computational complexity of […] | Mixed-Criticality Scheduling to Minimize Makespan
4465 We also leave open the approximability of the equivalent non-preemptive scheduling problems with release dates. | Stochastic and Robust Scheduling in the Cloud
4582 We leave the computational complexity of the robust appointment scheduling and ordering problem as an open problem, and note that it is also unknown whether […] | Robust Appointment Scheduling
5016 Combinatorial Perpetual Scheduling: Existence and Computation of Low-Height Schedules — Open Problem 1 / Does there exists a polynomial-time implementation of a height-2 schedule for matroid CBGT instances when access to I is given through some natural oracle? | Combinatorial Perpetual Scheduling: Existence and Computation of Low-Height Schedules
5140 Hardness of Interval Scheduling on Unrelated Machines — Open Question 1 / What is the computational complexity of Unweighted Interval Scheduling on Eligible Machines? | Hardness of Interval Scheduling on Unrelated Machines
5415 Approximating Optimal Broadcast of Files in a Hose-Model Network — Explicit open question on PDF page 2 / For the non-migratory setting minimizing makespan is NP-hard [8] but for the migratory setting, we do not know if the problem is NP-hard. | Approximating Optimal Broadcast of Files in a Hose-Model Network
5726 Parameterized Complexity of Scheduling Chains of Jobs with Delays — Unresolved-question passage on page 14 / What is the complexity of the other cases when delays are given in binary? | Parameterized Complexity of Scheduling Chains of Jobs with Delays
