0208 4-Colourability of matroid dual graphs (Hassler Whitney, 1993) | Graph Polynomials: Towards a Comparative Theory
0342 Twin-width of String Graphs | Computational Geometry
0579 Degree-four vertices in one-crossing critical graphs | SIGACT Open Problems Column
0580 Four-coloring locally planar toroidal graphs | SIGACT Open Problems Column
0582 Reducible configurations permitting one crossing | SIGACT Open Problems Column
0583 Atoms vs. Avoiding Simplicial Vertices | Solving Problems on Graphs: From Structure to Algorithms
0587 Polylogarithmic bounds on treewidth | Solving Problems on Graphs: From Structure to Algorithms
0588 Albertson’s chromatic-number crossing conjecture | SIGACT Open Problems Column
0592 Logarithmic degree and logarithmic treewidth | Vertex Partitioning in Graphs: From Structure to Algorithms
0599 The Dilworth number of a graphs | Graph Colouring: from Structure to Algorithms
0603 Cop number of toroidal graphs | Theory and Applications of Graph Searching Problems (GRASTA 2011)
0606 Kelly-width | Theory and Applications of Graph Searching Problems (GRASTA 2011)
0608 Ratio of monotonicity | Theory and Applications of Graph Searching Problems (GRASTA 2011)
0609 Span-width | Theory and Applications of Graph Searching Problems (GRASTA 2011)
0614 Representing posets of bounded treewidth | Antoine Amarilli: research questions
0783 Does Bounded Cliquewidth Imply Bounded Linear Cliquewidth? | Optimality and Tight Results in Parameterized Complexity
1139 What is the optimal normalized spectral gap for graphs with degrees 2 and 3 and average degree 2 + ε? | Ultra-Sparse Expanders and the Free Method
1179 Is there a family with constant clique number and treewidth Θ(log n)? | Product Structure and Treewidth of Hyperbolic Uniform Disk Graphs
1206 Every monadically stable graph class is structurally nowhere dense. | Weakly-Sparse and Strongly Flip-Flat Classes of Graphs Are Uniformly Almost-Wide
1250 Alternatively, is there a graph operation that multiplies the mim-width of any graph by a constant factor? | On the Hardness of Recognizing Graphs of Small Mim-Width and Its Variants
1586 We therefore leave the question of whether extension preservation holds over graphs of cliquewidth 3 open. | Extension Preservation on Dense Graph Classes
1612 There are functions f, g : N → N such that for every graph G holds obstruction-depth(G) ⩽ f SC-depth(G) ⩽ g obstruction-depth(G) . | Forbidden Induced Subgraphs for Bounded Shrub-Depth and the Expressive Power of MSO
1755 This mismatch was conjectured to never happen [9, Conjecture 4], but it remains an open question. | Labelled Well Quasi Ordered Classes of Bounded Linear Clique-Width
1812 What about subdivisions of a tree with a small number, say two or three, of non-leaf vertices? | k-Leaf Powers Cannot Be Characterized by a Finite Set of Forbidden Induced Subgraphs for k ≥ 5
2002 The class of k-independent crossing graphs admits product structure. | Intersection Graphs with and Without Product Structure
2042 We also leave open whether a dual object similar to brambles can be defined for bounded depth treewidth. | Monotonicity of the Cops and Robber Game for Bounded Depth Treewidth
2089 For every graph H, there exists a minor-monotone graph parameter EPH such that MH has the Erdős-Pósa property in a minor-closed graph class G if […] | Delineating Half-Integrality of the Erdős-Pósa Property for Minors: The Case of Surfaces
2138 Although we do not have a simple concrete counterexample at hand, we conjecture this is not possible with arbitrary H. | ℋ-Clique-Width and a Hereditary Analogue of Product Structure
2187 What is the correct multiplicative constant? | Bounding the Treewidth of Outer k-Planar Graphs via Triangulations
2245 Can we show that F is homomorphism-distinguishing closed? | Homomorphism-Distinguishing Closedness for Graphs of Bounded Tree-Width
