area,count
Graph theory and graph algorithms,460
Computational geometry,356
Parameterized and exact algorithms,336
Learning theory,265
Automata and formal languages,239
General algorithm design,216
Approximation algorithms,195
Computational and circuit complexity,189
Quantum computation,181
Distributed and local algorithms,178
"Rewriting, lambda calculus and semantics",144
Data structures and compressed data,136
"Games, synthesis and verification",131
"Online algorithms, bandits and stochastic optimization",124
Streaming and sketching,102
Database theory and finite model theory,96
Computability and algorithmic information,92
Combinatorics and graph polynomials,85
Algorithms for biological structures,82
Pseudorandomness and derandomization,78
Proof complexity and logic,78
Cryptography,76
Algebraic and numerical computation,75
Algorithmic game theory and fair division,75
Automated reasoning and unification,70
Optimization and mathematical programming,65
Enumeration and counting,65
Coding and information theory,61
Scheduling and packing,60
Computational topology,59
Communication complexity,47
Constraint satisfaction,46
Property testing and distribution learning,45
Infinite-state systems and verification,39
Dynamic graph algorithms,30
Fine-grained complexity,30
Temporal graph algorithms,30
Lattices and computational number theory,29
Existential theory of the reals,11
Differential privacy,10
Average-case complexity,4
Information-based complexity and numerical algorithms,4
Randomized search and optimization,1
