venue,year,area,count,pct
FOCS,2021,Computational and circuit complexity,8,6.837606837606837
FOCS,2021,Pseudorandomness and derandomization,4,3.4188034188034186
FOCS,2021,Algebraic and numerical computation,4,3.4188034188034186
FOCS,2021,Approximation algorithms,8,6.837606837606837
FOCS,2021,Optimization and mathematical programming,2,1.7094017094017093
FOCS,2021,Algorithmic game theory and fair division,6,5.128205128205129
FOCS,2021,Average-case complexity,3,2.5641025641025643
FOCS,2021,Coding and information theory,4,3.4188034188034186
FOCS,2021,Cryptography,3,2.5641025641025643
FOCS,2021,Learning theory,10,8.547008547008547
FOCS,2021,Proof complexity and logic,3,2.5641025641025643
FOCS,2021,Quantum computation,8,6.837606837606837
FOCS,2021,Algorithms for biological structures,0,0.0
FOCS,2021,Automata and formal languages,0,0.0
FOCS,2021,Automated reasoning and unification,1,0.8547008547008547
FOCS,2021,Combinatorics and graph polynomials,2,1.7094017094017093
FOCS,2021,Communication complexity,0,0.0
FOCS,2021,Computability and algorithmic information,0,0.0
FOCS,2021,Computational geometry,2,1.7094017094017093
FOCS,2021,Computational topology,1,0.8547008547008547
FOCS,2021,Constraint satisfaction,2,1.7094017094017093
FOCS,2021,Data structures and compressed data,3,2.5641025641025643
FOCS,2021,Database theory and finite model theory,0,0.0
FOCS,2021,Differential privacy,1,0.8547008547008547
FOCS,2021,Distributed and local algorithms,4,3.4188034188034186
FOCS,2021,Dynamic graph algorithms,3,2.5641025641025643
FOCS,2021,Enumeration and counting,5,4.273504273504273
FOCS,2021,Fine-grained complexity,2,1.7094017094017093
FOCS,2021,"Games, synthesis and verification",0,0.0
FOCS,2021,Graph theory and graph algorithms,8,6.837606837606837
FOCS,2021,Infinite-state systems and verification,2,1.7094017094017093
FOCS,2021,Information-based complexity and numerical algorithms,0,0.0
FOCS,2021,Lattices and computational number theory,1,0.8547008547008547
FOCS,2021,"Online algorithms, bandits and stochastic optimization",7,5.982905982905983
FOCS,2021,Parameterized and exact algorithms,3,2.5641025641025643
FOCS,2021,Property testing and distribution learning,3,2.5641025641025643
FOCS,2021,Randomized search and optimization,0,0.0
FOCS,2021,"Rewriting, lambda calculus and semantics",0,0.0
FOCS,2021,Scheduling and packing,0,0.0
FOCS,2021,Streaming and sketching,2,1.7094017094017093
FOCS,2021,Temporal graph algorithms,1,0.8547008547008547
FOCS,2021,Existential theory of the reals,0,0.0
FOCS,2021,General algorithm design,1,0.8547008547008547
FOCS,2022,Computational and circuit complexity,2,1.8181818181818181
FOCS,2022,Pseudorandomness and derandomization,3,2.727272727272727
FOCS,2022,Algebraic and numerical computation,5,4.545454545454546
FOCS,2022,Approximation algorithms,7,6.363636363636363
FOCS,2022,Optimization and mathematical programming,4,3.6363636363636362
FOCS,2022,Algorithmic game theory and fair division,1,0.9090909090909091
FOCS,2022,Average-case complexity,5,4.545454545454546
FOCS,2022,Coding and information theory,4,3.6363636363636362
FOCS,2022,Cryptography,6,5.454545454545454
FOCS,2022,Learning theory,9,8.181818181818182
FOCS,2022,Proof complexity and logic,4,3.6363636363636362
FOCS,2022,Quantum computation,9,8.181818181818182
FOCS,2022,Algorithms for biological structures,0,0.0
FOCS,2022,Automata and formal languages,0,0.0
FOCS,2022,Automated reasoning and unification,0,0.0
FOCS,2022,Combinatorics and graph polynomials,2,1.8181818181818181
FOCS,2022,Communication complexity,3,2.727272727272727
FOCS,2022,Computability and algorithmic information,0,0.0
FOCS,2022,Computational geometry,1,0.9090909090909091
FOCS,2022,Computational topology,0,0.0
FOCS,2022,Constraint satisfaction,0,0.0
FOCS,2022,Data structures and compressed data,7,6.363636363636363
FOCS,2022,Database theory and finite model theory,0,0.0
FOCS,2022,Differential privacy,1,0.9090909090909091
FOCS,2022,Distributed and local algorithms,4,3.6363636363636362
FOCS,2022,Dynamic graph algorithms,1,0.9090909090909091
FOCS,2022,Enumeration and counting,6,5.454545454545454
FOCS,2022,Fine-grained complexity,1,0.9090909090909091
FOCS,2022,"Games, synthesis and verification",0,0.0
FOCS,2022,Graph theory and graph algorithms,17,15.454545454545455
FOCS,2022,Infinite-state systems and verification,0,0.0
FOCS,2022,Information-based complexity and numerical algorithms,0,0.0
FOCS,2022,Lattices and computational number theory,0,0.0
FOCS,2022,"Online algorithms, bandits and stochastic optimization",1,0.9090909090909091
FOCS,2022,Parameterized and exact algorithms,0,0.0
FOCS,2022,Property testing and distribution learning,2,1.8181818181818181
FOCS,2022,Randomized search and optimization,0,0.0
FOCS,2022,"Rewriting, lambda calculus and semantics",0,0.0
FOCS,2022,Scheduling and packing,0,0.0
FOCS,2022,Streaming and sketching,4,3.6363636363636362
FOCS,2022,Temporal graph algorithms,0,0.0
FOCS,2022,Existential theory of the reals,0,0.0
FOCS,2022,General algorithm design,1,0.9090909090909091
FOCS,2023,Computational and circuit complexity,3,2.112676056338028
FOCS,2023,Pseudorandomness and derandomization,10,7.042253521126761
FOCS,2023,Algebraic and numerical computation,8,5.633802816901408
FOCS,2023,Approximation algorithms,8,5.633802816901408
FOCS,2023,Optimization and mathematical programming,9,6.338028169014085
FOCS,2023,Algorithmic game theory and fair division,4,2.816901408450704
FOCS,2023,Average-case complexity,2,1.408450704225352
FOCS,2023,Coding and information theory,6,4.225352112676056
FOCS,2023,Cryptography,5,3.5211267605633805
FOCS,2023,Learning theory,9,6.338028169014085
FOCS,2023,Proof complexity and logic,6,4.225352112676056
FOCS,2023,Quantum computation,6,4.225352112676056
FOCS,2023,Algorithms for biological structures,0,0.0
FOCS,2023,Automata and formal languages,0,0.0
FOCS,2023,Automated reasoning and unification,0,0.0
FOCS,2023,Combinatorics and graph polynomials,4,2.816901408450704
FOCS,2023,Communication complexity,1,0.704225352112676
FOCS,2023,Computability and algorithmic information,0,0.0
FOCS,2023,Computational geometry,4,2.816901408450704
FOCS,2023,Computational topology,0,0.0
FOCS,2023,Constraint satisfaction,3,2.112676056338028
FOCS,2023,Data structures and compressed data,10,7.042253521126761
FOCS,2023,Database theory and finite model theory,0,0.0
FOCS,2023,Differential privacy,2,1.408450704225352
FOCS,2023,Distributed and local algorithms,2,1.408450704225352
FOCS,2023,Dynamic graph algorithms,5,3.5211267605633805
FOCS,2023,Enumeration and counting,4,2.816901408450704
FOCS,2023,Fine-grained complexity,0,0.0
FOCS,2023,"Games, synthesis and verification",0,0.0
FOCS,2023,Graph theory and graph algorithms,13,9.154929577464788
FOCS,2023,Infinite-state systems and verification,0,0.0
FOCS,2023,Information-based complexity and numerical algorithms,0,0.0
FOCS,2023,Lattices and computational number theory,1,0.704225352112676
FOCS,2023,"Online algorithms, bandits and stochastic optimization",3,2.112676056338028
FOCS,2023,Parameterized and exact algorithms,2,1.408450704225352
FOCS,2023,Property testing and distribution learning,5,3.5211267605633805
FOCS,2023,Randomized search and optimization,0,0.0
FOCS,2023,"Rewriting, lambda calculus and semantics",0,0.0
FOCS,2023,Scheduling and packing,1,0.704225352112676
FOCS,2023,Streaming and sketching,6,4.225352112676056
FOCS,2023,Temporal graph algorithms,0,0.0
FOCS,2023,Existential theory of the reals,0,0.0
FOCS,2023,General algorithm design,0,0.0
FOCS,2024,Computational and circuit complexity,3,2.255639097744361
FOCS,2024,Pseudorandomness and derandomization,4,3.007518796992481
FOCS,2024,Algebraic and numerical computation,7,5.2631578947368425
FOCS,2024,Approximation algorithms,7,5.2631578947368425
FOCS,2024,Optimization and mathematical programming,3,2.255639097744361
FOCS,2024,Algorithmic game theory and fair division,5,3.7593984962406015
FOCS,2024,Average-case complexity,3,2.255639097744361
FOCS,2024,Coding and information theory,5,3.7593984962406015
FOCS,2024,Cryptography,4,3.007518796992481
FOCS,2024,Learning theory,10,7.518796992481203
FOCS,2024,Proof complexity and logic,9,6.7669172932330826
FOCS,2024,Quantum computation,13,9.774436090225564
FOCS,2024,Algorithms for biological structures,0,0.0
FOCS,2024,Automata and formal languages,0,0.0
FOCS,2024,Automated reasoning and unification,0,0.0
FOCS,2024,Combinatorics and graph polynomials,3,2.255639097744361
FOCS,2024,Communication complexity,2,1.5037593984962405
FOCS,2024,Computability and algorithmic information,2,1.5037593984962405
FOCS,2024,Computational geometry,4,3.007518796992481
FOCS,2024,Computational topology,0,0.0
FOCS,2024,Constraint satisfaction,2,1.5037593984962405
FOCS,2024,Data structures and compressed data,6,4.511278195488722
FOCS,2024,Database theory and finite model theory,0,0.0
FOCS,2024,Differential privacy,2,1.5037593984962405
FOCS,2024,Distributed and local algorithms,1,0.7518796992481203
FOCS,2024,Dynamic graph algorithms,6,4.511278195488722
FOCS,2024,Enumeration and counting,5,3.7593984962406015
FOCS,2024,Fine-grained complexity,1,0.7518796992481203
FOCS,2024,"Games, synthesis and verification",1,0.7518796992481203
FOCS,2024,Graph theory and graph algorithms,9,6.7669172932330826
FOCS,2024,Infinite-state systems and verification,1,0.7518796992481203
FOCS,2024,Information-based complexity and numerical algorithms,0,0.0
FOCS,2024,Lattices and computational number theory,0,0.0
FOCS,2024,"Online algorithms, bandits and stochastic optimization",5,3.7593984962406015
FOCS,2024,Parameterized and exact algorithms,2,1.5037593984962405
FOCS,2024,Property testing and distribution learning,1,0.7518796992481203
FOCS,2024,Randomized search and optimization,0,0.0
FOCS,2024,"Rewriting, lambda calculus and semantics",0,0.0
FOCS,2024,Scheduling and packing,0,0.0
FOCS,2024,Streaming and sketching,3,2.255639097744361
FOCS,2024,Temporal graph algorithms,0,0.0
FOCS,2024,Existential theory of the reals,0,0.0
FOCS,2024,General algorithm design,4,3.007518796992481
FOCS,2025,Computational and circuit complexity,6,4.37956204379562
FOCS,2025,Pseudorandomness and derandomization,3,2.18978102189781
FOCS,2025,Algebraic and numerical computation,6,4.37956204379562
FOCS,2025,Approximation algorithms,8,5.839416058394161
FOCS,2025,Optimization and mathematical programming,5,3.6496350364963503
FOCS,2025,Algorithmic game theory and fair division,5,3.6496350364963503
FOCS,2025,Average-case complexity,5,3.6496350364963503
FOCS,2025,Coding and information theory,10,7.299270072992701
FOCS,2025,Cryptography,8,5.839416058394161
FOCS,2025,Learning theory,8,5.839416058394161
FOCS,2025,Proof complexity and logic,4,2.9197080291970803
FOCS,2025,Quantum computation,9,6.569343065693431
FOCS,2025,Algorithms for biological structures,0,0.0
FOCS,2025,Automata and formal languages,0,0.0
FOCS,2025,Automated reasoning and unification,1,0.7299270072992701
FOCS,2025,Combinatorics and graph polynomials,7,5.109489051094891
FOCS,2025,Communication complexity,2,1.4598540145985401
FOCS,2025,Computability and algorithmic information,0,0.0
FOCS,2025,Computational geometry,3,2.18978102189781
FOCS,2025,Computational topology,0,0.0
FOCS,2025,Constraint satisfaction,2,1.4598540145985401
FOCS,2025,Data structures and compressed data,6,4.37956204379562
FOCS,2025,Database theory and finite model theory,0,0.0
FOCS,2025,Differential privacy,0,0.0
FOCS,2025,Distributed and local algorithms,4,2.9197080291970803
FOCS,2025,Dynamic graph algorithms,1,0.7299270072992701
FOCS,2025,Enumeration and counting,4,2.9197080291970803
FOCS,2025,Fine-grained complexity,1,0.7299270072992701
FOCS,2025,"Games, synthesis and verification",0,0.0
FOCS,2025,Graph theory and graph algorithms,12,8.75912408759124
FOCS,2025,Infinite-state systems and verification,0,0.0
FOCS,2025,Information-based complexity and numerical algorithms,0,0.0
FOCS,2025,Lattices and computational number theory,0,0.0
FOCS,2025,"Online algorithms, bandits and stochastic optimization",8,5.839416058394161
FOCS,2025,Parameterized and exact algorithms,1,0.7299270072992701
FOCS,2025,Property testing and distribution learning,2,1.4598540145985401
FOCS,2025,Randomized search and optimization,0,0.0
FOCS,2025,"Rewriting, lambda calculus and semantics",0,0.0
FOCS,2025,Scheduling and packing,2,1.4598540145985401
FOCS,2025,Streaming and sketching,4,2.9197080291970803
FOCS,2025,Temporal graph algorithms,0,0.0
FOCS,2025,Existential theory of the reals,0,0.0
FOCS,2025,General algorithm design,0,0.0
STOC,2022,Computational and circuit complexity,7,5.223880597014926
STOC,2022,Pseudorandomness and derandomization,4,2.985074626865672
STOC,2022,Algebraic and numerical computation,6,4.477611940298507
STOC,2022,Approximation algorithms,6,4.477611940298507
STOC,2022,Optimization and mathematical programming,4,2.985074626865672
STOC,2022,Algorithmic game theory and fair division,5,3.7313432835820897
STOC,2022,Average-case complexity,3,2.2388059701492535
STOC,2022,Coding and information theory,5,3.7313432835820897
STOC,2022,Cryptography,4,2.985074626865672
STOC,2022,Learning theory,9,6.7164179104477615
STOC,2022,Proof complexity and logic,2,1.492537313432836
STOC,2022,Quantum computation,9,6.7164179104477615
STOC,2022,Algorithms for biological structures,0,0.0
STOC,2022,Automata and formal languages,0,0.0
STOC,2022,Automated reasoning and unification,0,0.0
STOC,2022,Combinatorics and graph polynomials,7,5.223880597014926
STOC,2022,Communication complexity,1,0.746268656716418
STOC,2022,Computability and algorithmic information,0,0.0
STOC,2022,Computational geometry,2,1.492537313432836
STOC,2022,Computational topology,0,0.0
STOC,2022,Constraint satisfaction,5,3.7313432835820897
STOC,2022,Data structures and compressed data,7,5.223880597014926
STOC,2022,Database theory and finite model theory,0,0.0
STOC,2022,Differential privacy,2,1.492537313432836
STOC,2022,Distributed and local algorithms,8,5.970149253731344
STOC,2022,Dynamic graph algorithms,2,1.492537313432836
STOC,2022,Enumeration and counting,7,5.223880597014926
STOC,2022,Fine-grained complexity,4,2.985074626865672
STOC,2022,"Games, synthesis and verification",0,0.0
STOC,2022,Graph theory and graph algorithms,9,6.7164179104477615
STOC,2022,Infinite-state systems and verification,0,0.0
STOC,2022,Information-based complexity and numerical algorithms,0,0.0
STOC,2022,Lattices and computational number theory,0,0.0
STOC,2022,"Online algorithms, bandits and stochastic optimization",5,3.7313432835820897
STOC,2022,Parameterized and exact algorithms,3,2.2388059701492535
STOC,2022,Property testing and distribution learning,0,0.0
STOC,2022,Randomized search and optimization,0,0.0
STOC,2022,"Rewriting, lambda calculus and semantics",0,0.0
STOC,2022,Scheduling and packing,1,0.746268656716418
STOC,2022,Streaming and sketching,5,3.7313432835820897
STOC,2022,Temporal graph algorithms,0,0.0
STOC,2022,Existential theory of the reals,0,0.0
STOC,2022,General algorithm design,2,1.492537313432836
STOC,2023,Computational and circuit complexity,6,3.870967741935484
STOC,2023,Pseudorandomness and derandomization,5,3.225806451612903
STOC,2023,Algebraic and numerical computation,4,2.5806451612903225
STOC,2023,Approximation algorithms,8,5.161290322580645
STOC,2023,Optimization and mathematical programming,5,3.225806451612903
STOC,2023,Algorithmic game theory and fair division,10,6.451612903225806
STOC,2023,Average-case complexity,4,2.5806451612903225
STOC,2023,Coding and information theory,6,3.870967741935484
STOC,2023,Cryptography,12,7.741935483870968
STOC,2023,Learning theory,10,6.451612903225806
STOC,2023,Proof complexity and logic,2,1.2903225806451613
STOC,2023,Quantum computation,12,7.741935483870968
STOC,2023,Algorithms for biological structures,0,0.0
STOC,2023,Automata and formal languages,0,0.0
STOC,2023,Automated reasoning and unification,0,0.0
STOC,2023,Combinatorics and graph polynomials,9,5.806451612903226
STOC,2023,Communication complexity,1,0.6451612903225806
STOC,2023,Computability and algorithmic information,0,0.0
STOC,2023,Computational geometry,2,1.2903225806451613
STOC,2023,Computational topology,1,0.6451612903225806
STOC,2023,Constraint satisfaction,3,1.935483870967742
STOC,2023,Data structures and compressed data,3,1.935483870967742
STOC,2023,Database theory and finite model theory,0,0.0
STOC,2023,Differential privacy,5,3.225806451612903
STOC,2023,Distributed and local algorithms,4,2.5806451612903225
STOC,2023,Dynamic graph algorithms,6,3.870967741935484
STOC,2023,Enumeration and counting,3,1.935483870967742
STOC,2023,Fine-grained complexity,4,2.5806451612903225
STOC,2023,"Games, synthesis and verification",1,0.6451612903225806
STOC,2023,Graph theory and graph algorithms,8,5.161290322580645
STOC,2023,Infinite-state systems and verification,0,0.0
STOC,2023,Information-based complexity and numerical algorithms,0,0.0
STOC,2023,Lattices and computational number theory,2,1.2903225806451613
STOC,2023,"Online algorithms, bandits and stochastic optimization",8,5.161290322580645
STOC,2023,Parameterized and exact algorithms,2,1.2903225806451613
STOC,2023,Property testing and distribution learning,2,1.2903225806451613
STOC,2023,Randomized search and optimization,0,0.0
STOC,2023,"Rewriting, lambda calculus and semantics",0,0.0
STOC,2023,Scheduling and packing,1,0.6451612903225806
STOC,2023,Streaming and sketching,5,3.225806451612903
STOC,2023,Temporal graph algorithms,0,0.0
STOC,2023,Existential theory of the reals,0,0.0
STOC,2023,General algorithm design,1,0.6451612903225806
STOC,2024,Computational and circuit complexity,9,4.787234042553192
STOC,2024,Pseudorandomness and derandomization,3,1.5957446808510638
STOC,2024,Algebraic and numerical computation,10,5.319148936170213
STOC,2024,Approximation algorithms,8,4.25531914893617
STOC,2024,Optimization and mathematical programming,6,3.1914893617021276
STOC,2024,Algorithmic game theory and fair division,7,3.723404255319149
STOC,2024,Average-case complexity,3,1.5957446808510638
STOC,2024,Coding and information theory,9,4.787234042553192
STOC,2024,Cryptography,14,7.446808510638298
STOC,2024,Learning theory,10,5.319148936170213
STOC,2024,Proof complexity and logic,10,5.319148936170213
STOC,2024,Quantum computation,18,9.574468085106384
STOC,2024,Algorithms for biological structures,0,0.0
STOC,2024,Automata and formal languages,0,0.0
STOC,2024,Automated reasoning and unification,0,0.0
STOC,2024,Combinatorics and graph polynomials,4,2.127659574468085
STOC,2024,Communication complexity,8,4.25531914893617
STOC,2024,Computability and algorithmic information,0,0.0
STOC,2024,Computational geometry,3,1.5957446808510638
STOC,2024,Computational topology,0,0.0
STOC,2024,Constraint satisfaction,3,1.5957446808510638
STOC,2024,Data structures and compressed data,6,3.1914893617021276
STOC,2024,Database theory and finite model theory,0,0.0
STOC,2024,Differential privacy,1,0.5319148936170213
STOC,2024,Distributed and local algorithms,4,2.127659574468085
STOC,2024,Dynamic graph algorithms,5,2.6595744680851063
STOC,2024,Enumeration and counting,9,4.787234042553192
STOC,2024,Fine-grained complexity,3,1.5957446808510638
STOC,2024,"Games, synthesis and verification",0,0.0
STOC,2024,Graph theory and graph algorithms,11,5.851063829787234
STOC,2024,Infinite-state systems and verification,0,0.0
STOC,2024,Information-based complexity and numerical algorithms,0,0.0
STOC,2024,Lattices and computational number theory,0,0.0
STOC,2024,"Online algorithms, bandits and stochastic optimization",10,5.319148936170213
STOC,2024,Parameterized and exact algorithms,4,2.127659574468085
STOC,2024,Property testing and distribution learning,4,2.127659574468085
STOC,2024,Randomized search and optimization,0,0.0
STOC,2024,"Rewriting, lambda calculus and semantics",0,0.0
STOC,2024,Scheduling and packing,2,1.0638297872340425
STOC,2024,Streaming and sketching,4,2.127659574468085
STOC,2024,Temporal graph algorithms,0,0.0
STOC,2024,Existential theory of the reals,0,0.0
STOC,2024,General algorithm design,0,0.0
STOC,2025,Computational and circuit complexity,7,3.1963470319634704
STOC,2025,Pseudorandomness and derandomization,3,1.36986301369863
STOC,2025,Algebraic and numerical computation,9,4.109589041095891
STOC,2025,Approximation algorithms,10,4.566210045662101
STOC,2025,Optimization and mathematical programming,7,3.1963470319634704
STOC,2025,Algorithmic game theory and fair division,9,4.109589041095891
STOC,2025,Average-case complexity,4,1.82648401826484
STOC,2025,Coding and information theory,5,2.2831050228310503
STOC,2025,Cryptography,19,8.67579908675799
STOC,2025,Learning theory,18,8.219178082191782
STOC,2025,Proof complexity and logic,8,3.65296803652968
STOC,2025,Quantum computation,29,13.242009132420092
STOC,2025,Algorithms for biological structures,0,0.0
STOC,2025,Automata and formal languages,1,0.45662100456621
STOC,2025,Automated reasoning and unification,0,0.0
STOC,2025,Combinatorics and graph polynomials,8,3.65296803652968
STOC,2025,Communication complexity,3,1.36986301369863
STOC,2025,Computability and algorithmic information,0,0.0
STOC,2025,Computational geometry,2,0.91324200913242
STOC,2025,Computational topology,0,0.0
STOC,2025,Constraint satisfaction,5,2.2831050228310503
STOC,2025,Data structures and compressed data,11,5.0228310502283104
STOC,2025,Database theory and finite model theory,0,0.0
STOC,2025,Differential privacy,4,1.82648401826484
STOC,2025,Distributed and local algorithms,5,2.2831050228310503
STOC,2025,Dynamic graph algorithms,3,1.36986301369863
STOC,2025,Enumeration and counting,10,4.566210045662101
STOC,2025,Fine-grained complexity,2,0.91324200913242
STOC,2025,"Games, synthesis and verification",1,0.45662100456621
STOC,2025,Graph theory and graph algorithms,13,5.936073059360731
STOC,2025,Infinite-state systems and verification,1,0.45662100456621
STOC,2025,Information-based complexity and numerical algorithms,0,0.0
STOC,2025,Lattices and computational number theory,2,0.91324200913242
STOC,2025,"Online algorithms, bandits and stochastic optimization",8,3.65296803652968
STOC,2025,Parameterized and exact algorithms,4,1.82648401826484
STOC,2025,Property testing and distribution learning,4,1.82648401826484
STOC,2025,Randomized search and optimization,0,0.0
STOC,2025,"Rewriting, lambda calculus and semantics",0,0.0
STOC,2025,Scheduling and packing,0,0.0
STOC,2025,Streaming and sketching,4,1.82648401826484
STOC,2025,Temporal graph algorithms,0,0.0
STOC,2025,Existential theory of the reals,0,0.0
STOC,2025,General algorithm design,0,0.0
STOC,2026,Computational and circuit complexity,6,2.843601895734597
STOC,2026,Pseudorandomness and derandomization,2,0.9478672985781991
STOC,2026,Algebraic and numerical computation,7,3.3175355450236967
STOC,2026,Approximation algorithms,13,6.161137440758294
STOC,2026,Optimization and mathematical programming,8,3.7914691943127963
STOC,2026,Algorithmic game theory and fair division,10,4.739336492890995
STOC,2026,Average-case complexity,7,3.3175355450236967
STOC,2026,Coding and information theory,11,5.213270142180095
STOC,2026,Cryptography,11,5.213270142180095
STOC,2026,Learning theory,18,8.530805687203792
STOC,2026,Proof complexity and logic,9,4.265402843601896
STOC,2026,Quantum computation,19,9.004739336492891
STOC,2026,Algorithms for biological structures,1,0.47393364928909953
STOC,2026,Automata and formal languages,0,0.0
STOC,2026,Automated reasoning and unification,0,0.0
STOC,2026,Combinatorics and graph polynomials,3,1.4218009478672986
STOC,2026,Communication complexity,1,0.47393364928909953
STOC,2026,Computability and algorithmic information,4,1.8957345971563981
STOC,2026,Computational geometry,6,2.843601895734597
STOC,2026,Computational topology,0,0.0
STOC,2026,Constraint satisfaction,2,0.9478672985781991
STOC,2026,Data structures and compressed data,10,4.739336492890995
STOC,2026,Database theory and finite model theory,0,0.0
STOC,2026,Differential privacy,3,1.4218009478672986
STOC,2026,Distributed and local algorithms,6,2.843601895734597
STOC,2026,Dynamic graph algorithms,2,0.9478672985781991
STOC,2026,Enumeration and counting,4,1.8957345971563981
STOC,2026,Fine-grained complexity,5,2.3696682464454977
STOC,2026,"Games, synthesis and verification",0,0.0
STOC,2026,Graph theory and graph algorithms,17,8.056872037914692
STOC,2026,Infinite-state systems and verification,0,0.0
STOC,2026,Information-based complexity and numerical algorithms,0,0.0
STOC,2026,Lattices and computational number theory,4,1.8957345971563981
STOC,2026,"Online algorithms, bandits and stochastic optimization",7,3.3175355450236967
STOC,2026,Parameterized and exact algorithms,4,1.8957345971563981
STOC,2026,Property testing and distribution learning,4,1.8957345971563981
STOC,2026,Randomized search and optimization,0,0.0
STOC,2026,"Rewriting, lambda calculus and semantics",0,0.0
STOC,2026,Scheduling and packing,1,0.47393364928909953
STOC,2026,Streaming and sketching,5,2.3696682464454977
STOC,2026,Temporal graph algorithms,1,0.47393364928909953
STOC,2026,Existential theory of the reals,0,0.0
STOC,2026,General algorithm design,0,0.0
