area,area_cs,stoc_count,focs_count,papers_count,stoc_pct,focs_pct,papers_pct,catalog_count,catalog_pct,catalog_minus_papers_pp,catalog_to_papers_share_ratio,expected_catalog_count_at_paper_shares
Quantum computation,Kvantové počítání,68,37,105,9.770114942528735,7.088122605363985,8.620689655172415,181,3.855165069222577,-4.765524585949837,0.4471991480298189,404.7413793103449
Graph theory and graph algorithms,Grafy a grafové algoritmy,41,51,92,5.890804597701149,9.770114942528735,7.55336617405583,460,9.79765708200213,2.2442909079463003,1.2971246006389776,354.6305418719212
Learning theory,Teorie učení,47,36,83,6.752873563218391,6.896551724137931,6.814449917898194,265,5.644302449414271,-1.170147468483923,0.828284383540552,319.9384236453202
Cryptography,Kryptografie,49,23,72,7.040229885057471,4.406130268199234,5.911330049261084,76,1.6187433439829604,-4.292586705278123,0.27383741569045084,277.53694581280786
Approximation algorithms,Aproximační algoritmy,32,30,62,4.597701149425287,5.747126436781609,5.0903119868637114,195,4.15335463258786,-0.9369573542758518,0.8159332165309697,238.99014778325125
Data structures and compressed data,Datové struktury a komprese,27,29,56,3.8793103448275863,5.555555555555555,4.597701149425287,136,2.896698615548456,-1.7010025338768313,0.6300319488817892,215.86206896551724
Algebraic and numerical computation,Algebraické a numerické výpočty,29,26,55,4.166666666666667,4.980842911877395,4.51559934318555,75,1.5974440894568689,-2.9181552537286812,0.35376125471972114,212.00738916256157
Coding and information theory,Kódování a teorie informace,25,25,50,3.5919540229885056,4.789272030651341,4.105090311986864,61,1.2992545260915869,-2.805835785895277,0.31649840255591055,192.73399014778323
"Online algorithms, bandits and stochastic optimization","Online algoritmy, bandité, stochastická optimalizace",31,17,48,4.454022988505747,3.256704980842912,3.9408866995073892,124,2.6411075612353567,-1.2997791382720325,0.6701810436634718,185.02463054187191
Enumeration and counting,Enumerace a počítání,29,19,48,4.166666666666667,3.6398467432950192,3.9408866995073892,65,1.384451544195953,-2.5564351553114357,0.3513045793397231,185.02463054187191
Algorithmic game theory and fair division,Algoritmická teorie her a dělení zdrojů,31,15,46,4.454022988505747,2.8735632183908044,3.776683087027915,75,1.5974440894568689,-2.179238997571046,0.4229754132518405,177.3152709359606
Proof complexity and logic,Důkazová složitost a logika,22,23,45,3.160919540229885,4.406130268199234,3.6945812807881775,78,1.6613418530351438,-2.033239427753034,0.44966986155484556,173.46059113300495
Combinatorics and graph polynomials,Kombinatorika a grafové polynomy,28,16,44,4.022988505747127,3.0651340996168583,3.6124794745484397,85,1.810436634717785,-1.802042839830655,0.501161777519605,169.60591133004925
Computational and circuit complexity,Výpočetní a obvodová složitost,29,14,43,4.166666666666667,2.681992337164751,3.5303776683087027,189,4.025559105431309,0.495181437122607,1.140263021026822,165.75123152709358
Optimization and mathematical programming,Optimalizace a matematické programování,22,21,43,3.160919540229885,4.022988505747127,3.5303776683087027,65,1.384451544195953,-2.145926124112749,0.3921539490303886,165.75123152709358
Streaming and sketching,Streaming a sketching,18,17,35,2.586206896551724,3.256704980842912,2.8735632183908044,102,2.1725239616613417,-0.7010392567294629,0.756038338658147,134.91379310344828
Pseudorandomness and derandomization,Pseudonáhodnost a derandomizace,15,20,35,2.1551724137931036,3.8314176245210727,2.8735632183908044,78,1.6613418530351438,-1.2122213653556608,0.5781469648562301,134.91379310344828
Distributed and local algorithms,Distribuované a lokální algoritmy,21,11,32,3.0172413793103448,2.10727969348659,2.6272577996715927,178,3.7912673056443023,1.1640095059727098,1.4430511182108627,123.34975369458128
Dynamic graph algorithms,Dynamické grafové algoritmy,16,13,29,2.2988505747126435,2.4904214559386975,2.380952380952381,30,0.6389776357827476,-1.7419747451696332,0.268370607028754,111.78571428571428
Average-case complexity,Average-case složitost,14,15,29,2.0114942528735633,2.8735632183908044,2.380952380952381,4,0.08519701810436635,-2.2957553628480145,0.03578274760383387,111.78571428571428
Constraint satisfaction,Constraint satisfaction,16,7,23,2.2988505747126435,1.3409961685823755,1.8883415435139574,46,0.979765708200213,-0.9085758353137444,0.518849840255591,88.6576354679803
Computational geometry,Výpočetní geometrie,9,12,21,1.293103448275862,2.2988505747126435,1.7241379310344827,356,7.5825346112886045,5.858396680254122,4.397870074547391,80.94827586206897
Communication complexity,Komunikační složitost,13,8,21,1.867816091954023,1.5325670498084292,1.7241379310344827,47,1.0010649627263046,-0.7230729683081782,0.5806176783812567,80.94827586206897
Property testing and distribution learning,Property testing a učení distribucí,10,10,20,1.4367816091954022,1.9157088122605364,1.6420361247947455,45,0.9584664536741214,-0.6835696711206242,0.5837060702875398,77.09359605911331
Parameterized and exact algorithms,Parametrizované a exaktní algoritmy,13,5,18,1.867816091954023,0.9578544061302682,1.477832512315271,336,7.156549520766774,5.678717008451503,4.842598509052184,69.38423645320196
Differential privacy,Diferenciální soukromí,12,5,17,1.7241379310344827,0.9578544061302682,1.3957307060755337,10,0.21299254526091588,-1.1827381608146177,0.15260289419282091,65.5295566502463
Fine-grained complexity,Fine-grained složitost,13,3,16,1.867816091954023,0.5747126436781609,1.3136288998357963,30,0.6389776357827476,-0.6746512640530488,0.48642172523961663,61.67487684729064
General algorithm design,Obecný návrh algoritmů,3,5,8,0.43103448275862066,0.9578544061302682,0.6568144499178982,216,4.600638977635783,3.9438245277178847,7.004472843450479,30.83743842364532
Scheduling and packing,Rozvrhování a packing,4,3,7,0.5747126436781609,0.5747126436781609,0.5747126436781609,60,1.2779552715654952,0.7032426278873343,2.2236421725239617,26.982758620689655
Lattices and computational number theory,Mřížky a výpočetní teorie čísel,4,1,5,0.5747126436781609,0.19157088122605365,0.41050903119868637,29,0.617678381256656,0.2071693500579696,1.504664536741214,19.273399014778327
"Games, synthesis and verification","Hry, syntéza a verifikace",2,1,3,0.28735632183908044,0.19157088122605365,0.24630541871921183,131,2.790202342917998,2.543896924198786,11.32822151224707,11.564039408866995
Computability and algorithmic information,Vyčíslitelnost a algoritmická informace,0,2,2,0.0,0.3831417624521073,0.16420361247947454,92,1.959531416400426,1.7953278039209515,11.933546325878595,7.70935960591133
Infinite-state systems and verification,Nekonečné stavové systémy a verifikace,1,1,2,0.14367816091954022,0.19157088122605365,0.16420361247947454,39,0.8306709265175719,0.6664673140380973,5.058785942492013,7.70935960591133
Automata and formal languages,Automaty a formální jazyky,1,0,1,0.14367816091954022,0.0,0.08210180623973727,239,5.090521831735889,5.008420025496152,62.00255591054313,3.854679802955665
Automated reasoning and unification,Automatické dokazování a unifikace,0,1,1,0.0,0.19157088122605365,0.08210180623973727,70,1.4909478168264112,1.4088460105866738,18.159744408945688,3.854679802955665
Computational topology,Výpočetní topologie,1,0,1,0.14367816091954022,0.0,0.08210180623973727,59,1.2566560170394037,1.1745542107996663,15.306070287539937,3.854679802955665
"Rewriting, lambda calculus and semantics","Přepisování, lambda kalkul a sémantika",0,0,0,0.0,0.0,0.0,144,3.0670926517571884,3.0670926517571884,,0.0
Database theory and finite model theory,Databáze a konečná teorie modelů,0,0,0,0.0,0.0,0.0,96,2.0447284345047922,2.0447284345047922,,0.0
Algorithms for biological structures,Algoritmy pro biologické struktury,0,0,0,0.0,0.0,0.0,82,1.74653887113951,1.74653887113951,,0.0
Temporal graph algorithms,Temporální grafové algoritmy,0,0,0,0.0,0.0,0.0,30,0.6389776357827476,0.6389776357827476,,0.0
Existential theory of the reals,Existenční teorie reálných čísel,0,0,0,0.0,0.0,0.0,11,0.23429179978700748,0.23429179978700748,,0.0
Information-based complexity and numerical algorithms,Informační složitost numerických úloh,0,0,0,0.0,0.0,0.0,4,0.08519701810436635,0.08519701810436635,,0.0
Randomized search and optimization,Randomizované prohledávání a optimalizace,0,0,0,0.0,0.0,0.0,1,0.021299254526091587,0.021299254526091587,,0.0
