area,area_cs,stoc_count,focs_count,papers_count,stoc_pct,focs_pct,papers_pct,catalog_count,catalog_pct,catalog_minus_papers_pp,catalog_to_papers_share_ratio,expected_catalog_count_at_paper_shares
Quantum computation,Kvantové počítání,87,45,132,9.592061742006615,7.042253521126761,8.538163001293661,181,3.855165069222577,-4.682997932071084,0.45152160583470485,400.8667529107374
Graph theory and graph algorithms,Grafy a grafové algoritmy,58,59,117,6.39470782800441,9.23317683881064,7.567917205692108,460,9.79765708200213,2.229739876310022,1.2946305853654096,355.3137128072445
Learning theory,Teorie učení,65,46,111,7.166482910694597,7.198748043818466,7.179818887451487,265,5.644302449414271,-1.5355164380372168,0.7861343771886903,337.09249676584733
Cryptography,Kryptografie,60,26,86,6.615214994487321,4.068857589984351,5.5627425614489,76,1.6187433439829604,-3.9439992174659397,0.29099734997647175,261.17076326002586
Approximation algorithms,Aproximační algoritmy,45,38,83,4.961411245865491,5.94679186228482,5.36869340232859,195,4.15335463258786,-1.2153387697407307,0.7736248508410639,252.0601552393273
Data structures and compressed data,Datové struktury a komprese,37,32,69,4.0793825799338475,5.007824726134586,4.463130659767141,136,2.896698615548456,-1.5664320442186848,0.6490284144402773,209.54398447606727
Algebraic and numerical computation,Algebraické a numerické výpočty,36,30,66,3.9691289966923926,4.694835680751174,4.269081500646831,75,1.5974440894568689,-2.6716374111899617,0.374189176106109,200.4333764553687
Coding and information theory,Kódování a teorie informace,36,29,65,3.9691289966923926,4.538341158059468,4.204398447606727,61,1.2992545260915869,-2.90514392151514,0.3090226918980913,197.39650711513582
"Online algorithms, bandits and stochastic optimization","Online algoritmy, bandité, stochastická optimalizace",38,24,62,4.189636163175304,3.755868544600939,4.010349288486417,124,2.6411075612353567,-1.36924172725106,0.6585729499467519,188.28589909443727
Algorithmic game theory and fair division,Algoritmická teorie her a dělení zdrojů,41,21,62,4.5203969128996695,3.2863849765258215,4.010349288486417,75,1.5974440894568689,-2.412905199029548,0.39833041327424507,188.28589909443727
Computational and circuit complexity,Výpočetní a obvodová složitost,35,22,57,3.8588754134509373,3.4428794992175273,3.686934023285899,189,4.025559105431309,0.33862508214541065,1.0918446275432991,173.10155239327295
Proof complexity and logic,Důkazová složitost a logika,31,26,57,3.4178610804851157,4.068857589984351,3.686934023285899,78,1.6613418530351438,-2.0255921702507553,0.45060254470040917,173.10155239327295
Enumeration and counting,Enumerace a počítání,33,24,57,3.6383682469680263,3.755868544600939,3.686934023285899,65,1.384451544195953,-2.302482479089946,0.3755021205836743,173.10155239327295
Optimization and mathematical programming,Optimalizace a matematické programování,30,23,53,3.3076074972436604,3.599374021909233,3.428201811125485,65,1.384451544195953,-2.0437502669295315,0.40384190326923464,160.9540750323415
Combinatorics and graph polynomials,Kombinatorika a grafové polynomy,31,18,49,3.4178610804851157,2.816901408450704,3.169469598965071,85,1.810436634717785,-1.359032964247286,0.5712112320966726,148.8065976714101
Distributed and local algorithms,Distribuované a lokální algoritmy,27,15,42,2.9768467475192946,2.347417840375587,2.716688227684347,178,3.7912673056443023,1.0745790779599558,1.3955474415538314,127.54851228978008
Streaming and sketching,Streaming a sketching,23,19,42,2.535832414553473,2.97339593114241,2.716688227684347,102,2.1725239616613417,-0.5441642660230052,0.7996957249353415,127.54851228978008
Pseudorandomness and derandomization,Pseudonáhodnost a derandomizace,17,24,41,1.8743109151047408,3.755868544600939,2.652005174644243,78,1.6613418530351438,-0.9906633216090994,0.6264474401932518,124.51164294954721
Average-case complexity,Average-case složitost,21,18,39,2.3153252480705624,2.816901408450704,2.522639068564036,4,0.08519701810436635,-2.4374420504596697,0.03377297179214112,118.4379042690815
Dynamic graph algorithms,Dynamické grafové algoritmy,18,16,34,1.9845644983461963,2.503912363067293,2.1992238033635187,30,0.6389776357827476,-1.5602461675807713,0.2905468896823905,103.25355756791721
Computational geometry,Výpočetní geometrie,15,14,29,1.6538037486218302,2.190923317683881,1.8758085381630014,356,7.5825346112886045,5.706726073125604,4.042275347949029,88.06921086675291
Constraint satisfaction,Constraint satisfaction,18,9,27,1.9845644983461963,1.408450704225352,1.7464424320827943,46,0.979765708200213,-0.7666767238825813,0.5610065869916775,81.99547218628719
Property testing and distribution learning,Property testing a učení distribucí,14,13,27,1.543550165380375,2.0344287949921753,1.7464424320827943,45,0.9584664536741214,-0.787975978408673,0.5488107916222932,81.99547218628719
Parameterized and exact algorithms,Parametrizované a exaktní algoritmy,17,8,25,1.8743109151047408,1.2519561815336464,1.6170763260025873,336,7.156549520766774,5.539473194764186,4.425610223642173,75.92173350582148
Fine-grained complexity,Fine-grained složitost,18,5,23,1.9845644983461963,0.7824726134585289,1.4877102199223804,30,0.6389776357827476,-0.8487325841396328,0.4295040977913599,69.84799482535576
Communication complexity,Komunikační složitost,14,8,22,1.543550165380375,1.2519561815336464,1.423027166882277,47,1.0010649627263046,-0.42196220415597235,0.7034756510794848,66.8111254851229
Differential privacy,Diferenciální soukromí,15,6,21,1.6538037486218302,0.9389671361502347,1.3583441138421735,10,0.21299254526091588,-1.1453515685812574,0.1568030833206552,63.77425614489004
Lattices and computational number theory,Mřížky a výpočetní teorie čísel,8,2,10,0.8820286659316428,0.3129890453834116,0.646830530401035,29,0.617678381256656,-0.029152149144378962,0.9549307774227901,30.368693402328592
General algorithm design,Obecný návrh algoritmů,3,6,9,0.33076074972436603,0.9389671361502347,0.5821474773609314,216,4.600638977635783,4.018491500274851,7.9028753993610215,27.331824062095734
Scheduling and packing,Rozvrhování a packing,5,3,8,0.5512679162072768,0.4694835680751174,0.517464424320828,60,1.2779552715654952,0.7604908472446672,2.469648562300319,24.294954721862872
Computability and algorithmic information,Vyčíslitelnost a algoritmická informace,4,2,6,0.4410143329658214,0.3129890453834116,0.38809831824062097,92,1.959531416400426,1.571433098159805,5.049059282925097,18.221216041397156
Infinite-state systems and verification,Nekonečné stavové systémy a verifikace,1,3,4,0.11025358324145534,0.4694835680751174,0.258732212160414,39,0.8306709265175719,0.5719387143571579,3.210543130990415,12.147477360931436
"Games, synthesis and verification","Hry, syntéza a verifikace",2,1,3,0.2205071664829107,0.1564945226917058,0.19404915912031048,131,2.790202342917998,2.596153183797687,14.378842740504082,9.110608020698578
Automated reasoning and unification,Automatické dokazování a unifikace,0,2,2,0.0,0.3129890453834116,0.129366106080207,70,1.4909478168264112,1.3615817107462043,11.525026624068158,6.073738680465718
Computational topology,Výpočetní topologie,1,1,2,0.11025358324145534,0.1564945226917058,0.129366106080207,59,1.2566560170394037,1.1272899109591967,9.71395101171459,6.073738680465718
Temporal graph algorithms,Temporální grafové algoritmy,1,1,2,0.11025358324145534,0.1564945226917058,0.129366106080207,30,0.6389776357827476,0.5096115297025406,4.939297124600638,6.073738680465718
Automata and formal languages,Automaty a formální jazyky,1,0,1,0.11025358324145534,0.0,0.0646830530401035,239,5.090521831735889,5.025838778695785,78.69946751863684,3.036869340232859
Algorithms for biological structures,Algoritmy pro biologické struktury,1,0,1,0.11025358324145534,0.0,0.0646830530401035,82,1.74653887113951,1.6818558180994065,27.001490947816823,3.036869340232859
"Rewriting, lambda calculus and semantics","Přepisování, lambda kalkul a sémantika",0,0,0,0.0,0.0,0.0,144,3.0670926517571884,3.0670926517571884,,0.0
Database theory and finite model theory,Databáze a konečná teorie modelů,0,0,0,0.0,0.0,0.0,96,2.0447284345047922,2.0447284345047922,,0.0
Existential theory of the reals,Existenční teorie reálných čísel,0,0,0,0.0,0.0,0.0,11,0.23429179978700748,0.23429179978700748,,0.0
Information-based complexity and numerical algorithms,Informační složitost numerických úloh,0,0,0,0.0,0.0,0.0,4,0.08519701810436635,0.08519701810436635,,0.0
Randomized search and optimization,Randomizované prohledávání a optimalizace,0,0,0,0.0,0.0,0.0,1,0.021299254526091587,0.021299254526091587,,0.0
