venue,year,count,url,metadata_url
FOCS,2021,117,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js
FOCS,2022,110,https://ieee-focs.org/FOCS-2022-Papers/,https://ieee-focs.org/FOCS-2022-Papers/data/data.js
FOCS,2023,142,https://ieee-focs.org/FOCS-2023-Papers/,https://ieee-focs.org/FOCS-2023-Papers/data/data.js
FOCS,2024,133,https://ieee-focs.org/FOCS-2024-Papers/,https://ieee-focs.org/FOCS-2024-Papers/data/data.js
FOCS,2025,137,https://ieee-focs.org/FOCS-2025-Papers/,https://ieee-focs.org/FOCS-2025-Papers/data/data.js
STOC,2022,134,https://acm-stoc.org/stoc2022/toc.html,https://acm-stoc.org/stoc2022/toc.html
STOC,2023,155,https://acm-stoc.org/stoc2023/toc.html,https://acm-stoc.org/stoc2023/toc.html
STOC,2024,188,https://acm-stoc.org/stoc2024/toc.html,https://acm-stoc.org/stoc2024/toc.html
STOC,2025,219,https://acm-stoc.org/stoc2025/toc.html,https://acm-stoc.org/stoc2025/toc.html
STOC,2026,211,https://acm-stoc.org/stoc2026/toc.html,https://acm-stoc.org/stoc2026/toc.html
